Lista de bibliografía del AMP Yaganes,,,,,
,,,,,
ID,Fuente,Tipo,Año,Enlace,Observaciones
1,"Gutt, J., Helsen, E., Arntz, W., & Buschmann, A. (1999). Biodiversity and community structure of the mega-epibenthos in the Magellan area (South America). Scientia Marina, 63(S1), 155-170.",ArticuloCientifico,1999,https://doi.org/10.3989/scimar.1999.63s1155,
2,"Madirolas, A., Sánchez, R., Jansen, J. Alvarez Colombo, G., & Reta, R. (2000). Distribución, abundancia, biología y habitat de la sardina fueguina (Sprattus fuegensis). Informe Técnico INIDEP.",InformeTecnico,2000,Archivo pdf en Drive,
3,"BERNAL, R., & BALBONTÍN, F. (2003). Distribución y abundancia de las larvas de peces desde el Estrecho de Magallanes hasta el Cabo de Hornos, Chile. Revista Ciencia y Tecnología del Mar, 26, 1.",ArticuloCientifico,2003,https://www.researchgate.net/profile/Fernando-Balbontin-2/publication/285663113_Distribution_and_abundance_of_fish_larvae_from_the_Strait_of_Magellan_to_the_Cape_Horn_Chile/links/596f584daca27280fda310ab/Distribution-and-abundance-of-fish-larvae-from-the-Strait-of-Magellan-to-the-Cape-Horn-Chile.pdf,
4,"Arata, J., Robertson, G., Valencia, J., Xavier, J. C., & Moreno, C. A. (2004). Diet of grey-headed albatrosses at the Diego Ramírez Islands, Chile: ecological implications. Antarctic Science, 16(3), 263-275.",ArticuloCientifico,2004,https://doi.org/10.1017/S095410200400207X,
5,"Pütz, K., Rey, A. R., Schiavini, A., Clausen, A. P., & Lüthi, B. H. (2006). Winter migration of rockhopper penguins (Eudyptes c. chrysocome) breeding in the Southwest Atlantic: is utilisation of different foraging areas reflected in opposing population trends?. Polar Biology, 29(9), 735-744.",ArticuloCientifico,2006,https://doi.org/10.1007/s00300-006-0110-0,
6,"Reyes, P. R., Torres, J. P., & Reyes, E. M. (2009). Peces abisales del extremo austral de América del sur (52 S-57 S), componentes de la fauna acompañante de la pesquería de palangre del bacalao de profundidad (Dissostichus eleginoides Smitt, 1898). Revista de biología marina y oceanografía, 44(1), 59-65.",ArticuloCientifico,2009,http://dx.doi.org/10.4067/S0718-19572009000100006,
7,"Goodall, R. N. P. (2009). Peale's Dolphin: Lagenorhynchus australis. In Encyclopedia of marine mammals (pp. 844-847). Academic Press.",ArticuloCientifico,2009,https://doi.org/10.1016/B978-0-12-373553-9.00196-6,
8,"Riccialdelli, L., Newsome, S. D., Fogel, M. L., & Goodall, R. N. P. (2010). Isotopic assessment of prey and habitat preferences of a cetacean community in the southwestern South Atlantic Ocean. Marine Ecology Progress Series, 418, 235-248.",ArticuloCientifico,2010,https://doi.org/10.3354/meps08826,
9,"Van Waerebeek, K., Leaper, R., Baker, A. N., Papastavrou, V., Thiele, D. E. B. O. R. A. H., Findlay, K., ... & Ensor, P. A. U. L. (2010). Odontocetes of the southern ocean sanctuary. Journal of Cetacean Research and Management, 11(3), 315-346.",ArticuloCientifico,2010,https://www.researchgate.net/publication/235993961_Odontocetes_of_the_Southern_Ocean_Sanctuary,
10,"Ropert-Coudert, Y., Hindell, M. A., Phillips, R. A., Charrassin, J. B., Trudelle, L., & Raymond, B. (2014). 8. Biogeographic Patterns of Birds and Mammals.",ArticuloCientifico,2014,https://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.974.9404&rep=rep1&type=pdf,
11,"Rosciano, N. G., Polito, M. J., & Rey, A. R. (2016). Do penguins share? Evidence of foraging niche segregation between but not within two sympatric, central-place foragers. Marine Ecology Progress Series, 548, 249-262.",ArticuloCientifico,2016,https://doi.org/10.3354/meps11689,
12,"Hindell, M. A., Mcmahon, C. R., Bester, M. N., Boehme, L., Costa, D., Fedak, M. A., ... & Charrassin, J. B. (2016). Circumpolar habitat use in the southern elephant seal: implications for foraging success and population trajectories. Ecosphere, 7(5), e01213.",ArticuloCientifico,2016,https://doi.org/10.1002/ecs2.1213,
13,"Riccialdelli, L., Viola, M. N. P., Panarello, H. O., & Goodall, R. N. P. (2017). Evaluating the isotopic niche of beaked whales from the southwestern South Atlantic and Southern Oceans. Marine Ecology Progress Series, 581, 183-198.",ArticuloCientifico,2017,https://doi.org/10.3354/meps12296,
14,"Dellabianca, N. A., Torres, M. A., & Rey, A. R. (2018). Occurrence of dusky dolphin lagenorhynchus obscurus in Tierra Del Fuego archipelago over five decades. Polar Biology, 41(9), 1895-1900.",ArticuloCientifico,2018,https://doi.org/10.1007/s00300-018-2315-4,
15,"Diez, M. J., Cabreira, A. G., Madirolas, A., De Nascimento, J. M., Scioscia, G., Schiavini, A., & Lovrich, G. A. (2018). Winter is cool: spatio-temporal patterns of the squat lobster Munida gregaria and the Fuegian sprat Sprattus fuegensis in a sub-Antarctic estuarine environment. Polar Biology, 41(12), 2591-2605.",ArticuloCientifico,2018,https://doi.org/10.1007/s00300-018-2394-2,
16,"Rosciano, N. G., Pütz, K., Polito, M. J., & Raya Rey, A. (2018). Foraging behaviour of Magellanic Penguins during the early chick‐rearing period at Isla de los Estados, Argentina. Ibis, 160(2), 327-341.",ArticuloCientifico,2018,https://doi.org/10.1111/ibi.12547,
17,"Friedlander, A. M., Ballesteros, E., Bell, T. W., Caselle, J. E., Campagna, C., Goodell, W., ... & Dayton, P. K. (2020). Kelp forests at the end of the earth: 45 years later. Plos one, 15(3), e0229259.",ArticuloCientifico,2020,https://doi.org/10.1371/journal.pone.0229259,
18,"Guinder, V. A., Malits, A., Ferronato, C., Krock, B., Garzón-Cardona, J., & Martínez, A. (2020). Microbial plankton configuration in the epipelagic realm from the Beagle Channel to the Burdwood Bank, a Marine Protected Area in Sub-Antarctic waters. Plos one, 15(5), e0233156.",ArticuloCientifico,2020,https://doi.org/10.1371/journal.pone.0233156,
19,"Bassoi, M., Acevedo, J., Secchi, E. R., Aguayo-Lobo, A., Dalla Rosa, L., Torres, D., ... & Azevedo, A. F. (2020). Cetacean distribution in relation to environmental parameters between Drake Passage and northern Antarctic Peninsula. Polar Biology, 43(1), 1-15.",ArticuloCientifico,2020,https://doi.org/10.1007/s00300-019-02607-z,
20,"Massardo, F. (2020, December). Reserva de la Biosfera Cabo de Hornos y Parque Marino Islas Diego Ramírez-Paso Drake. In Anales del Instituto de la Patagonia (Vol. 48, No. 3, pp. 39-44). Universidad de Magallanes.",ArticuloCientifico,2020,http://dx.doi.org/10.4067/S0718-686X2020000300039,Zonas de influencia a Yaganes
21,"Becker, Y. A., Fioramonti, N. E., Dellabianca, N. A., & Riccialdelli, L. (2021). Feeding ecology of the long finned pilot whale, Globicephala melas edwardii, in the southwestern Atlantic Ocean, determined by stable isotopes analysis. Polar Biology, 44(8), 1655-1667.",ArticuloCientifico,2021,https://doi.org/10.1007/s00300-021-02908-2,
22,"Lois, N. A., Balza, U., Brasso, R., Dodino, S., Pütz, K., Polito, M. J., ... & Rey, A. R. (2022). Mercury and stable isotopes portray colony-specific foraging grounds in southern rockhopper penguins over the Patagonian Shelf. Marine Pollution Bulletin, 184, 114137.",ArticuloCientifico,2022,https://doi.org/10.1016/j.marpolbul.2022.114137,
23,"Andrade, C., Rivera, C., Daza, E., Almonacid, E., Ovando, F., Morello, F., & Pardo, L. M. (2022). Trophic Niche Dynamics and Diet Partitioning of King Crab Lithodes santolla in Chile’s Sub-Antarctic Water. Diversity, 14(1), 56.",ArticuloCientifico,2022,https://doi.org/10.3390/d14010056,
24,"Alvarez, F., & Orgeira, J. L. (2022). Krill finder: spatial distribution of sympatric fin (Balaenoptera physalus) and humpback (Megaptera novaeangliae) whales in the Southern Ocean. Polar Biology, 45(8), 1427-1440.",ArticuloCientifico,2022,https://doi.org/10.1007/s00300-022-03080-x,
25,"Sistema de Información de Biodiversidad (SIB), Administración de Parques Nacionales. Accedido 6/10/2022.",PaginaWeb,2022,https://sib.gob.ar/#!/area-protegida/area-marina-protegida-yaganes,Sitio oficial del AMP Yaganes