"ID","Presa","Grupo funcional presa","Depredador","Grupo funcional depredador","Estrategia","Fuente","Referencia",""
"","Cephalopods","","Delphinus","","","","Rosciano, N. G., Polito, M. J., & Rey, A. R. (2016). Do penguins share? Evidence of foraging niche segregation between but not within two sympatric, central-place foragers. Marine Ecology Progress Series, 548, 249-262.",""
"","Themisto_gaudichaudii","","Spheniscus_magellanicus_female","","","","Rosciano, N. G., Polito, M. J., & Rey, A. R. (2016). Do penguins share? Evidence of foraging niche segregation between but not within two sympatric, central-place foragers. Marine Ecology Progress Series, 548, 249-262.",""
"","Euphausiacea","","Spheniscus_magellanicus_female","","","","Rosciano, N. G., Polito, M. J., & Rey, A. R. (2016). Do penguins share? Evidence of foraging niche segregation between but not within two sympatric, central-place foragers. Marine Ecology Progress Series, 548, 249-262.",""
"","Amphipoda ","","Spheniscus_magellanicus_female","","","","Rosciano, N. G., Polito, M. J., & Rey, A. R. (2016). Do penguins share? Evidence of foraging niche segregation between but not within two sympatric, central-place foragers. Marine Ecology Progress Series, 548, 249-262.",""
"","Themisto_gaudichaudii","","Spheniscus_magellanicus_male","","","","Rosciano, N. G., Polito, M. J., & Rey, A. R. (2016). Do penguins share? Evidence of foraging niche segregation between but not within two sympatric, central-place foragers. Marine Ecology Progress Series, 548, 249-262.",""
"","Euphausiacea","","Spheniscus_magellanicus_male","","","","Rosciano, N. G., Polito, M. J., & Rey, A. R. (2016). Do penguins share? Evidence of foraging niche segregation between but not within two sympatric, central-place foragers. Marine Ecology Progress Series, 548, 249-262.",""
"","Amphipoda ","","Spheniscus_magellanicus_male","","","","Rosciano, N. G., Polito, M. J., & Rey, A. R. (2016). Do penguins share? Evidence of foraging niche segregation between but not within two sympatric, central-place foragers. Marine Ecology Progress Series, 548, 249-262.",""
"","Sprattus_fuegensis","","Spheniscus_magellanicus_male","","","","Rosciano, N. G., Polito, M. J., & Rey, A. R. (2016). Do penguins share? Evidence of foraging niche segregation between but not within two sympatric, central-place foragers. Marine Ecology Progress Series, 548, 249-262.",""
"","Sprattus_fuegensis","","Spheniscus_magellanicus_female","","","","Rosciano, N. G., Polito, M. J., & Rey, A. R. (2016). Do penguins share? Evidence of foraging niche segregation between but not within two sympatric, central-place foragers. Marine Ecology Progress Series, 548, 249-262.",""
"","Munida_gregaria","","Spheniscus_magellanicus_male","","","","Rosciano, N. G., Polito, M. J., & Rey, A. R. (2016). Do penguins share? Evidence of foraging niche segregation between but not within two sympatric, central-place foragers. Marine Ecology Progress Series, 548, 249-262.",""
"","Munida_gregaria","","Spheniscus_magellanicus_female","","","","Rosciano, N. G., Polito, M. J., & Rey, A. R. (2016). Do penguins share? Evidence of foraging niche segregation between but not within two sympatric, central-place foragers. Marine Ecology Progress Series, 548, 249-262.",""
"","Loligo_gahi","","Spheniscus_magellanicus_male","","","","Rosciano, N. G., Polito, M. J., & Rey, A. R. (2016). Do penguins share? Evidence of foraging niche segregation between but not within two sympatric, central-place foragers. Marine Ecology Progress Series, 548, 249-262.",""
"","Loligo_gahi","","Spheniscus_magellanicus_female","","","","Rosciano, N. G., Polito, M. J., & Rey, A. R. (2016). Do penguins share? Evidence of foraging niche segregation between but not within two sympatric, central-place foragers. Marine Ecology Progress Series, 548, 249-262.",""
"","Engraulidae","","Spheniscus_magellanicus_male","","","","Rosciano, N. G., Polito, M. J., & Rey, A. R. (2016). Do penguins share? Evidence of foraging niche segregation between but not within two sympatric, central-place foragers. Marine Ecology Progress Series, 548, 249-262.",""
"","Engraulidae","","Spheniscus_magellanicus_female","","","","Rosciano, N. G., Polito, M. J., & Rey, A. R. (2016). Do penguins share? Evidence of foraging niche segregation between but not within two sympatric, central-place foragers. Marine Ecology Progress Series, 548, 249-262.",""
"","Loligo_gahi","","Berardius_arnuxii","","","","",""
"","Illex_argentinus","","Berardius_arnuxii","","","","",""
"","Macruronus_magellanicus","","Berardius_arnuxii","","","","",""
"","Merluccius_australis","","Berardius_arnuxii","","","","",""
"","Champsocephalus_aceratus","","Berardius_arnuxii","","","","",""
"","Galiteuthis_glacialis","","Berardius_arnuxii","","","","",""
"","Euphausia_lucens","","Berardius_arnuxii","","","","",""
"","Euphausia_superba","","Berardius_arnuxii","","","","",""
"","Taonius","","Berardius_arnuxii","","","","",""
"","Histioteuthis_atlantica","","Berardius_arnuxii","","","","",""
"","Histioteuthis_macrohista","","Berardius_arnuxii","","","","",""
"","Gonatus_antarcticus","","Berardius_arnuxii","","","","",""
"","Kondakovia_longimana","","Berardius_arnuxii","","","","",""
"","Batoteuthis_skolops","","Berardius_arnuxii","","","","",""
"","Galiteuthis_glacialis","","Berardius_arnuxii","","","","",""
"","Dissostichus_eleginoides","","Berardius_arnuxii","","","","",""
"","Micromesistius_australis","","Berardius_arnuxii","","","","",""
"","Macruronus_magellanicus","","Berardius_arnuxii","","","","",""
"","Merluccius_australis","","Berardius_arnuxii","","","","",""
"","Gobionotothen_gibberifrons","","Berardius_arnuxii","","","","",""
"","Chaenocephalus_aceratus","","Berardius_arnuxii","","","","",""
"","Champsocephalus_gunnari","","Berardius_arnuxii","","","","",""
"","Chionodraco_rastrospinosus","","Berardius_arnuxii","","","","",""
"","Lepidonotothen_kempi","","Berardius_arnuxii","","","","",""
"","Nototheniops_larseni","","Berardius_arnuxii","","","","",""
"","Pseudochaenichthys_georgianus","","Berardius_arnuxii","","","","",""
"","Loligo_gahi","","Hyperoodon_planifrons","","","","",""
"","Illex_argentinus","","Hyperoodon_planifrons","","","","",""
"","Macruronus_magellanicus","","Hyperoodon_planifrons","","","","",""
"","Merluccius_australis","","Hyperoodon_planifrons","","","","",""
"","Champsocephalus_aceratus","","Hyperoodon_planifrons","","","","",""
"","Galiteuthis_glacialis","","Hyperoodon_planifrons","","","","",""
"","Euphausia_lucens","","Hyperoodon_planifrons","","","","",""
"","Euphausia_superba","","Hyperoodon_planifrons","","","","",""
"","Taonius","","Hyperoodon_planifrons","","","","",""
"","Histioteuthis_atlantica","","Hyperoodon_planifrons","","","","",""
"","Histioteuthis_macrohista","","Hyperoodon_planifrons","","","","",""
"","Gonatus_antarcticus","","Hyperoodon_planifrons","","","","",""
"","Kondakovia_longimana","","Hyperoodon_planifrons","","","","",""
"","Batoteuthis_skolops","","Hyperoodon_planifrons","","","","",""
"","Galiteuthis_glacialis","","Hyperoodon_planifrons","","","","",""
"","Dissostichus_eleginoides","","Hyperoodon_planifrons","","","","",""
"","Micromesistius_australis","","Hyperoodon_planifrons","","","","",""
"","Macruronus_magellanicus","","Hyperoodon_planifrons","","","","",""
"","Merluccius_australis","","Hyperoodon_planifrons","","","","",""
"","Gobionotothen_gibberifrons","","Hyperoodon_planifrons","","","","",""
"","Chaenocephalus_aceratus","","Hyperoodon_planifrons","","","","",""
"","Champsocephalus_gunnari","","Hyperoodon_planifrons","","","","",""
"","Chionodraco_rastrospinosus","","Hyperoodon_planifrons","","","","",""
"","Lepidonotothen_kempi","","Hyperoodon_planifrons","","","","",""
"","Nototheniops_larseni","","Hyperoodon_planifrons","","","","",""
"","Pseudochaenichthys_georgianus","","Hyperoodon_planifrons","","","","",""
"","Loligo_gahi","","Mesoplodon_bowdoini","","","","",""
"","Illex_argentinus","","Mesoplodon_bowdoini","","","","",""
"","Macruronus_magellanicus","","Mesoplodon_bowdoini","","","","",""
"","Merluccius_australis","","Mesoplodon_bowdoini","","","","",""
"","Champsocephalus_aceratus","","Mesoplodon_bowdoini","","","","",""
"","Galiteuthis_glacialis","","Mesoplodon_bowdoini","","","","",""
"","Euphausia_lucens","","Mesoplodon_bowdoini","","","","",""
"","Euphausia_superba","","Mesoplodon_bowdoini","","","","",""
"","Taonius","","Mesoplodon_bowdoini","","","","",""
"","Histioteuthis_atlantica","","Mesoplodon_bowdoini","","","","",""
"","Histioteuthis_macrohista","","Mesoplodon_bowdoini","","","","",""
"","Gonatus_antarcticus","","Mesoplodon_bowdoini","","","","",""
"","Kondakovia_longimana","","Mesoplodon_bowdoini","","","","",""
"","Batoteuthis_skolops","","Mesoplodon_bowdoini","","","","",""
"","Galiteuthis_glacialis","","Mesoplodon_bowdoini","","","","",""
"","Dissostichus_eleginoides","","Mesoplodon_bowdoini","","","","",""
"","Micromesistius_australis","","Mesoplodon_bowdoini","","","","",""
"","Macruronus_magellanicus","","Mesoplodon_bowdoini","","","","",""
"","Merluccius_australis","","Mesoplodon_bowdoini","","","","",""
"","Gobionotothen_gibberifrons","","Mesoplodon_bowdoini","","","","",""
"","Chaenocephalus_aceratus","","Mesoplodon_bowdoini","","","","",""
"","Champsocephalus_gunnari","","Mesoplodon_bowdoini","","","","",""
"","Chionodraco_rastrospinosus","","Mesoplodon_bowdoini","","","","",""
"","Lepidonotothen_kempi","","Mesoplodon_bowdoini","","","","",""
"","Nototheniops_larseni","","Mesoplodon_bowdoini","","","","",""
"","Pseudochaenichthys_georgianus","","Mesoplodon_bowdoini","","","","",""
"","Loligo_gahi","","Mesoplodon_grayi","","","","",""
"","Illex_argentinus","","Mesoplodon_grayi","","","","",""
"","Macruronus_magellanicus","","Mesoplodon_grayi","","","","",""
"","Merluccius_australis","","Mesoplodon_grayi","","","","",""
"","Champsocephalus_aceratus","","Mesoplodon_grayi","","","","",""
"","Galiteuthis_glacialis","","Mesoplodon_grayi","","","","",""
"","Euphausia_lucens","","Mesoplodon_grayi","","","","",""
"","Euphausia_superba","","Mesoplodon_grayi","","","","",""
"","Taonius","","Mesoplodon_grayi","","","","",""
"","Histioteuthis_atlantica","","Mesoplodon_grayi","","","","",""
"","Histioteuthis_macrohista","","Mesoplodon_grayi","","","","",""
"","Gonatus_antarcticus","","Mesoplodon_grayi","","","","",""
"","Kondakovia_longimana","","Mesoplodon_grayi","","","","",""
"","Batoteuthis_skolops","","Mesoplodon_grayi","","","","",""
"","Galiteuthis_glacialis","","Mesoplodon_grayi","","","","",""
"","Dissostichus_eleginoides","","Mesoplodon_grayi","","","","",""
"","Micromesistius_australis","","Mesoplodon_grayi","","","","",""
"","Macruronus_magellanicus","","Mesoplodon_grayi","","","","",""
"","Merluccius_australis","","Mesoplodon_grayi","","","","",""
"","Gobionotothen_gibberifrons","","Mesoplodon_grayi","","","","",""
"","Chaenocephalus_aceratus","","Mesoplodon_grayi","","","","",""
"","Champsocephalus_gunnari","","Mesoplodon_grayi","","","","",""
"","Chionodraco_rastrospinosus","","Mesoplodon_grayi","","","","",""
"","Lepidonotothen_kempi","","Mesoplodon_grayi","","","","",""
"","Nototheniops_larseni","","Mesoplodon_grayi","","","","",""
"","Pseudochaenichthys_georgianus","","Mesoplodon_grayi","","","","",""
"","Loligo_gahi","","Mesoplodon_hectori","","","","",""
"","Illex_argentinus","","Mesoplodon_hectori","","","","",""
"","Macruronus_magellanicus","","Mesoplodon_hectori","","","","",""
"","Merluccius_australis","","Mesoplodon_hectori","","","","",""
"","Champsocephalus_aceratus","","Mesoplodon_hectori","","","","",""
"","Galiteuthis_glacialis","","Mesoplodon_hectori","","","","",""
"","Euphausia_lucens","","Mesoplodon_hectori","","","","",""
"","Euphausia_superba","","Mesoplodon_hectori","","","","",""
"","Taonius","","Mesoplodon_hectori","","","","",""
"","Histioteuthis_atlantica","","Mesoplodon_hectori","","","","",""
"","Histioteuthis_macrohista","","Mesoplodon_hectori","","","","",""
"","Gonatus_antarcticus","","Mesoplodon_hectori","","","","",""
"","Kondakovia_longimana","","Mesoplodon_hectori","","","","",""
"","Batoteuthis_skolops","","Mesoplodon_hectori","","","","",""
"","Galiteuthis_glacialis","","Mesoplodon_hectori","","","","",""
"","Dissostichus_eleginoides","","Mesoplodon_hectori","","","","",""
"","Micromesistius_australis","","Mesoplodon_hectori","","","","",""
"","Macruronus_magellanicus","","Mesoplodon_hectori","","","","",""
"","Merluccius_australis","","Mesoplodon_hectori","","","","",""
"","Gobionotothen_gibberifrons","","Mesoplodon_hectori","","","","",""
"","Chaenocephalus_aceratus","","Mesoplodon_hectori","","","","",""
"","Champsocephalus_gunnari","","Mesoplodon_hectori","","","","",""
"","Chionodraco_rastrospinosus","","Mesoplodon_hectori","","","","",""
"","Lepidonotothen_kempi","","Mesoplodon_hectori","","","","",""
"","Nototheniops_larseni","","Mesoplodon_hectori","","","","",""
"","Pseudochaenichthys_georgianus","","Mesoplodon_hectori","","","","",""
"","Loligo_gahi","","Mesoplodon_layardii","","","","",""
"","Illex_argentinus","","Mesoplodon_layardii","","","","",""
"","Macruronus_magellanicus","","Mesoplodon_layardii","","","","",""
"","Merluccius_australis","","Mesoplodon_layardii","","","","",""
"","Champsocephalus_aceratus","","Mesoplodon_layardii","","","","",""
"","Galiteuthis_glacialis","","Mesoplodon_layardii","","","","",""
"","Euphausia_lucens","","Mesoplodon_layardii","","","","",""
"","Euphausia_superba","","Mesoplodon_layardii","","","","",""
"","Taonius","","Mesoplodon_layardii","","","","",""
"","Histioteuthis_atlantica","","Mesoplodon_layardii","","","","",""
"","Histioteuthis_macrohista","","Mesoplodon_layardii","","","","",""
"","Gonatus_antarcticus","","Mesoplodon_layardii","","","","",""
"","Kondakovia_longimana","","Mesoplodon_layardii","","","","",""
"","Batoteuthis_skolops","","Mesoplodon_layardii","","","","",""
"","Galiteuthis_glacialis","","Mesoplodon_layardii","","","","",""
"","Dissostichus_eleginoides","","Mesoplodon_layardii","","","","",""
"","Micromesistius_australis","","Mesoplodon_layardii","","","","",""
"","Macruronus_magellanicus","","Mesoplodon_layardii","","","","",""
"","Merluccius_australis","","Mesoplodon_layardii","","","","",""
"","Gobionotothen_gibberifrons","","Mesoplodon_layardii","","","","",""
"","Chaenocephalus_aceratus","","Mesoplodon_layardii","","","","",""
"","Champsocephalus_gunnari","","Mesoplodon_layardii","","","","",""
"","Chionodraco_rastrospinosus","","Mesoplodon_layardii","","","","",""
"","Lepidonotothen_kempi","","Mesoplodon_layardii","","","","",""
"","Nototheniops_larseni","","Mesoplodon_layardii","","","","",""
"","Pseudochaenichthys_georgianus","","Mesoplodon_layardii","","","","",""
"","Loligo_gahi","","Tasmacetus_shepherdi","","","","",""
"","Illex_argentinus","","Tasmacetus_shepherdi","","","","",""
"","Macruronus_magellanicus","","Tasmacetus_shepherdi","","","","",""
"","Merluccius_australis","","Tasmacetus_shepherdi","","","","",""
"","Champsocephalus_aceratus","","Tasmacetus_shepherdi","","","","",""
"","Galiteuthis_glacialis","","Tasmacetus_shepherdi","","","","",""
"","Euphausia_lucens","","Tasmacetus_shepherdi","","","","",""
"","Euphausia_superba","","Tasmacetus_shepherdi","","","","",""
"","Taonius","","Tasmacetus_shepherdi","","","","",""
"","Histioteuthis_atlantica","","Tasmacetus_shepherdi","","","","",""
"","Histioteuthis_macrohista","","Tasmacetus_shepherdi","","","","",""
"","Gonatus_antarcticus","","Tasmacetus_shepherdi","","","","",""
"","Kondakovia_longimana","","Tasmacetus_shepherdi","","","","",""
"","Batoteuthis_skolops","","Tasmacetus_shepherdi","","","","",""
"","Galiteuthis_glacialis","","Tasmacetus_shepherdi","","","","",""
"","Dissostichus_eleginoides","","Tasmacetus_shepherdi","","","","",""
"","Micromesistius_australis","","Tasmacetus_shepherdi","","","","",""
"","Macruronus_magellanicus","","Tasmacetus_shepherdi","","","","",""
"","Merluccius_australis","","Tasmacetus_shepherdi","","","","",""
"","Gobionotothen_gibberifrons","","Tasmacetus_shepherdi","","","","",""
"","Chaenocephalus_aceratus","","Tasmacetus_shepherdi","","","","",""
"","Champsocephalus_gunnari","","Tasmacetus_shepherdi","","","","",""
"","Chionodraco_rastrospinosus","","Tasmacetus_shepherdi","","","","",""
"","Lepidonotothen_kempi","","Tasmacetus_shepherdi","","","","",""
"","Nototheniops_larseni","","Tasmacetus_shepherdi","","","","",""
"","Pseudochaenichthys_georgianus","","Tasmacetus_shepherdi","","","","",""
"","Loligo_gahi","","Ziphius_cavirostris","","","","",""
"","Illex_argentinus","","Ziphius_cavirostris","","","","",""
"","Macruronus_magellanicus","","Ziphius_cavirostris","","","","",""
"","Merluccius_australis","","Ziphius_cavirostris","","","","",""
"","Champsocephalus_aceratus","","Ziphius_cavirostris","","","","",""
"","Galiteuthis_glacialis","","Ziphius_cavirostris","","","","",""
"","Euphausia_lucens","","Ziphius_cavirostris","","","","",""
"","Euphausia_superba","","Ziphius_cavirostris","","","","",""
"","Taonius","","Ziphius_cavirostris","","","","",""
"","Histioteuthis_atlantica","","Ziphius_cavirostris","","","","",""
"","Histioteuthis_macrohista","","Ziphius_cavirostris","","","","",""
"","Gonatus_antarcticus","","Ziphius_cavirostris","","","","",""
"","Kondakovia_longimana","","Ziphius_cavirostris","","","","",""
"","Batoteuthis_skolops","","Ziphius_cavirostris","","","","",""
"","Galiteuthis_glacialis","","Ziphius_cavirostris","","","","",""
"","Dissostichus_eleginoides","","Ziphius_cavirostris","","","","",""
"","Micromesistius_australis","","Ziphius_cavirostris","","","","",""
"","Macruronus_magellanicus","","Ziphius_cavirostris","","","","",""
"","Merluccius_australis","","Ziphius_cavirostris","","","","",""
"","Gobionotothen_gibberifrons","","Ziphius_cavirostris","","","","",""
"","Chaenocephalus_aceratus","","Ziphius_cavirostris","","","","",""
"","Champsocephalus_gunnari","","Ziphius_cavirostris","","","","",""
"","Chionodraco_rastrospinosus","","Ziphius_cavirostris","","","","",""
"","Lepidonotothen_kempi","","Ziphius_cavirostris","","","","",""
"","Nototheniops_larseni","","Ziphius_cavirostris","","","","",""
"","Pseudochaenichthys_georgianus","","Ziphius_cavirostris","","","","",""
"","Loligo_gahi","","Cephalorhynchus_commersonii","","","","",""
"","Illex_argentinus","","Cephalorhynchus_commersonii","","","","",""
"","Macruronus_magellanicus","","Cephalorhynchus_commersonii","","","","",""
"","Merluccius_australis","","Cephalorhynchus_commersonii","","","","",""
"","Champsocephalus_aceratus","","Cephalorhynchus_commersonii","","","","",""
"","Galiteuthis_glacialis","","Cephalorhynchus_commersonii","","","","",""
"","Euphausia_lucens","","Cephalorhynchus_commersonii","","","","",""
"","Euphausia_superba","","Cephalorhynchus_commersonii","","","","",""
"","Taonius","","Cephalorhynchus_commersonii","","","","",""
"","Histioteuthis_atlantica","","Cephalorhynchus_commersonii","","","","",""
"","Histioteuthis_macrohista","","Cephalorhynchus_commersonii","","","","",""
"","Gonatus_antarcticus","","Cephalorhynchus_commersonii","","","","",""
"","Kondakovia_longimana","","Cephalorhynchus_commersonii","","","","",""
"","Batoteuthis_skolops","","Cephalorhynchus_commersonii","","","","",""
"","Galiteuthis_glacialis","","Cephalorhynchus_commersonii","","","","",""
"","Dissostichus_eleginoides","","Cephalorhynchus_commersonii","","","","",""
"","Micromesistius_australis","","Cephalorhynchus_commersonii","","","","",""
"","Macruronus_magellanicus","","Cephalorhynchus_commersonii","","","","",""
"","Merluccius_australis","","Cephalorhynchus_commersonii","","","","",""
"","Gobionotothen_gibberifrons","","Cephalorhynchus_commersonii","","","","",""
"","Chaenocephalus_aceratus","","Cephalorhynchus_commersonii","","","","",""
"","Champsocephalus_gunnari","","Cephalorhynchus_commersonii","","","","",""
"","Chionodraco_rastrospinosus","","Cephalorhynchus_commersonii","","","","",""
"","Lepidonotothen_kempi","","Cephalorhynchus_commersonii","","","","",""
"","Nototheniops_larseni","","Cephalorhynchus_commersonii","","","","",""
"","Pseudochaenichthys_georgianus","","Cephalorhynchus_commersonii","","","","",""
"","Loligo_gahi","","Eubalaena_australis","","","","",""
"","Illex_argentinus","","Eubalaena_australis","","","","",""
"","Macruronus_magellanicus","","Eubalaena_australis","","","","",""
"","Merluccius_australis","","Eubalaena_australis","","","","",""
"","Champsocephalus_aceratus","","Eubalaena_australis","","","","",""
"","Galiteuthis_glacialis","","Eubalaena_australis","","","","",""
"","Euphausia_lucens","","Eubalaena_australis","","","","",""
"","Euphausia_superba","","Eubalaena_australis","","","","",""
"","Taonius","","Eubalaena_australis","","","","",""
"","Histioteuthis_atlantica","","Eubalaena_australis","","","","",""
"","Histioteuthis_macrohista","","Eubalaena_australis","","","","",""
"","Gonatus_antarcticus","","Eubalaena_australis","","","","",""
"","Kondakovia_longimana","","Eubalaena_australis","","","","",""
"","Batoteuthis_skolops","","Eubalaena_australis","","","","",""
"","Galiteuthis_glacialis","","Eubalaena_australis","","","","",""
"","Dissostichus_eleginoides","","Eubalaena_australis","","","","",""
"","Micromesistius_australis","","Eubalaena_australis","","","","",""
"","Macruronus_magellanicus","","Eubalaena_australis","","","","",""
"","Merluccius_australis","","Eubalaena_australis","","","","",""
"","Gobionotothen_gibberifrons","","Eubalaena_australis","","","","",""
"","Chaenocephalus_aceratus","","Eubalaena_australis","","","","",""
"","Champsocephalus_gunnari","","Eubalaena_australis","","","","",""
"","Chionodraco_rastrospinosus","","Eubalaena_australis","","","","",""
"","Lepidonotothen_kempi","","Eubalaena_australis","","","","",""
"","Nototheniops_larseni","","Eubalaena_australis","","","","",""
"","Pseudochaenichthys_georgianus","","Eubalaena_australis","","","","",""
"","Sprattus_fuegensis","","Aves","Cazador","Heterótrofo","","Diez, M. J., Cabreira, A. G., Madirolas, A., De Nascimento, J. M., Scioscia, G., Schiavini, A., & Lovrich, G. A. (2018). Winter is cool: spatio-temporal patterns of the squat lobster Munida gregaria and the Fuegian sprat Sprattus fuegensis in a sub-Antarctic estuarine environment. Polar Biology, 41(12), 2591-2605.",""
"","Munida_gregaria","","Aves","Cazador","Heterótrofo","","Diez, M. J., Cabreira, A. G., Madirolas, A., De Nascimento, J. M., Scioscia, G., Schiavini, A., & Lovrich, G. A. (2018). Winter is cool: spatio-temporal patterns of the squat lobster Munida gregaria and the Fuegian sprat Sprattus fuegensis in a sub-Antarctic estuarine environment. Polar Biology, 41(12), 2591-2605.",""
"","Sprattus_fuegensis","","Peces","Cazador","Heterótrofo","","Diez, M. J., Cabreira, A. G., Madirolas, A., De Nascimento, J. M., Scioscia, G., Schiavini, A., & Lovrich, G. A. (2018). Winter is cool: spatio-temporal patterns of the squat lobster Munida gregaria and the Fuegian sprat Sprattus fuegensis in a sub-Antarctic estuarine environment. Polar Biology, 41(12), 2591-2605.",""
"","Munida_gregaria","","Peces","Cazador","Heterótrofo","","Diez, M. J., Cabreira, A. G., Madirolas, A., De Nascimento, J. M., Scioscia, G., Schiavini, A., & Lovrich, G. A. (2018). Winter is cool: spatio-temporal patterns of the squat lobster Munida gregaria and the Fuegian sprat Sprattus fuegensis in a sub-Antarctic estuarine environment. Polar Biology, 41(12), 2591-2605.",""
"","Sprattus_fuegensis","","Mamíferos marinos","Cazador","Heterótrofo","","Diez, M. J., Cabreira, A. G., Madirolas, A., De Nascimento, J. M., Scioscia, G., Schiavini, A., & Lovrich, G. A. (2018). Winter is cool: spatio-temporal patterns of the squat lobster Munida gregaria and the Fuegian sprat Sprattus fuegensis in a sub-Antarctic estuarine environment. Polar Biology, 41(12), 2591-2605.",""
"","Munida_gregaria","","Mamíferos marinos","Cazador","Heterótrofo","","Diez, M. J., Cabreira, A. G., Madirolas, A., De Nascimento, J. M., Scioscia, G., Schiavini, A., & Lovrich, G. A. (2018). Winter is cool: spatio-temporal patterns of the squat lobster Munida gregaria and the Fuegian sprat Sprattus fuegensis in a sub-Antarctic estuarine environment. Polar Biology, 41(12), 2591-2605.",""
"","Munida_gregaria","","Spheniscus_magellanicus","Cazador","Heterótrofo","","Rosciano, N. G., Pütz, K., Polito, M. J., & Raya Rey, A. (2018). Foraging behaviour of Magellanic Penguins during the early chick‐rearing period at Isla de los Estados, Argentina. Ibis, 160(2), 327-341.",""
"","Sprattus_fuegensis","","Spheniscus_magellanicus","Cazador","Heterótrofo","","Rosciano, N. G., Pütz, K., Polito, M. J., & Raya Rey, A. (2018). Foraging behaviour of Magellanic Penguins during the early chick‐rearing period at Isla de los Estados, Argentina. Ibis, 160(2), 327-341.",""
"","Loligo_gahi","","Spheniscus_magellanicus","Cazador","Heterótrofo","","Rosciano, N. G., Pütz, K., Polito, M. J., & Raya Rey, A. (2018). Foraging behaviour of Magellanic Penguins during the early chick‐rearing period at Isla de los Estados, Argentina. Ibis, 160(2), 327-341.",""
