"","ID","Filum","Clase","Orden","Familia","Género","Especie.trófica","Nombre.común","Hábitat","Dominio","Expertise","Referencia","Enlace","X","X.1"
"1",33,"Chordata","Actinopterygii","Perciformes","Nototeniidae",NA,"Nototeniidae*",NA,"Pelágico","","Peces",1,"https://doi.org/10.3989/scimar.1999.63s1155",NA,""
"2",108,"Chordata","Actinopteri","Perciformes ","Congiopodidae ","Congiopodus","Congiopodus_peruvianus",NA,"","","Peces",1,"https://doi.org/10.3989/scimar.1999.63s1155",NA,""
"3",109,"Chordata","Actinopteri","Gadiformes","Macrouridae","Coelorhinchus","Coelorhinchus_fasciatus",NA,"","","Peces",1,"https://doi.org/10.3989/scimar.1999.63s1155",NA,""
"4",110,"Chordata","Actinopteri","Gadiformes","Moridae ","Lepidion","Lepidion_ensiferus","","","","Peces",1,"https://doi.org/10.3989/scimar.1999.63s1155",NA,""
"5",111,"Chordata","Actinopteri","Gadiformes","Macrouridae",NA,"Macrouridae*","","","","Peces",1,"https://doi.org/10.3989/scimar.1999.63s1155",NA,""
"6",112,"Chordata","Myxini","Myxiniformes","Myxinidae",NA,"Myxinidae*","","","","Peces",1,"https://doi.org/10.3989/scimar.1999.63s1155",NA,""
"7",113,"Chordata","Actinopteri","Perciformes ","Bovichtidae ",NA,"Bovichtidae* ","","","","Peces",1,"https://doi.org/10.3989/scimar.1999.63s1155",NA,""
"8",119,"Chordata","Actinopteri","Argentiniformes ","Bathylagidae ","Bathylagichthys","Bathylagichthys_parini","","","","Peces",3,"https://www.researchgate.net/profile/Fernando-Balbontin-2/publication/285663113_Distribution_and_abundance_of_fish_larvae_from_the_Strait_of_Magellan_to_the_Cape_Horn_Chile/links/596f584daca27280fda310ab/Distribution-and-abundance-of-fish-larvae-from-the-Strait-of-Magellan-to-the-Cape-Horn-Chile.pdf",NA,""
"9",120,"Chordata","Actinopteri","Gadiformes","Muraenolepididae","Muraenolepis","Muraenolepis*","","","","Peces",3,"https://www.researchgate.net/profile/Fernando-Balbontin-2/publication/285663113_Distribution_and_abundance_of_fish_larvae_from_the_Strait_of_Magellan_to_the_Cape_Horn_Chile/links/596f584daca27280fda310ab/Distribution-and-abundance-of-fish-larvae-from-the-Strait-of-Magellan-to-the-Cape-Horn-Chile.pdf",NA,""
"10",121,"Chordata","Actinopteri","Gadiformes","Merlucciidae","Macruronus","Macruronus_magellanicus","Merluza de cola","Demersal","","Peces",3,"https://www.researchgate.net/profile/Fernando-Balbontin-2/publication/285663113_Distribution_and_abundance_of_fish_larvae_from_the_Strait_of_Magellan_to_the_Cape_Horn_Chile/links/596f584daca27280fda310ab/Distribution-and-abundance-of-fish-larvae-from-the-Strait-of-Magellan-to-the-Cape-Horn-Chile.pdf",NA,""
"11",122,"Chordata","Actinopteri","Perciformes ","Sebastidae ","Sebastes","Sebastes_capensis","","","","Peces",3,"https://www.researchgate.net/profile/Fernando-Balbontin-2/publication/285663113_Distribution_and_abundance_of_fish_larvae_from_the_Strait_of_Magellan_to_the_Cape_Horn_Chile/links/596f584daca27280fda310ab/Distribution-and-abundance-of-fish-larvae-from-the-Strait-of-Magellan-to-the-Cape-Horn-Chile.pdf",NA,""
"12",123,"Chordata","Actinopteri","Perciformes ","Agonidae ","Agonopsis","Agonopsis_chiloensis","","","","Peces",3,"https://www.researchgate.net/profile/Fernando-Balbontin-2/publication/285663113_Distribution_and_abundance_of_fish_larvae_from_the_Strait_of_Magellan_to_the_Cape_Horn_Chile/links/596f584daca27280fda310ab/Distribution-and-abundance-of-fish-larvae-from-the-Strait-of-Magellan-to-the-Cape-Horn-Chile.pdf",NA,""
"13",124,"Chordata","Actinopteri","Perciformes ","Liparidae","Paraliparis","Paraliparis_anarthractae","","","","Peces",3,"https://www.researchgate.net/profile/Fernando-Balbontin-2/publication/285663113_Distribution_and_abundance_of_fish_larvae_from_the_Strait_of_Magellan_to_the_Cape_Horn_Chile/links/596f584daca27280fda310ab/Distribution-and-abundance-of-fish-larvae-from-the-Strait-of-Magellan-to-the-Cape-Horn-Chile.pdf",NA,""
"14",125,"Chordata","Actinopteri","Perciformes ","Nototheniidae",NA,"Nototheniidae*","","","","Peces",3,"https://www.researchgate.net/profile/Fernando-Balbontin-2/publication/285663113_Distribution_and_abundance_of_fish_larvae_from_the_Strait_of_Magellan_to_the_Cape_Horn_Chile/links/596f584daca27280fda310ab/Distribution-and-abundance-of-fish-larvae-from-the-Strait-of-Magellan-to-the-Cape-Horn-Chile.pdf",NA,""
"15",126,"Chordata","Actinopteri","Perciformes ","Harpagiferidae","Harpagifer ","Harpagifer_bispinnis","","","","Peces",3,"https://www.researchgate.net/profile/Fernando-Balbontin-2/publication/285663113_Distribution_and_abundance_of_fish_larvae_from_the_Strait_of_Magellan_to_the_Cape_Horn_Chile/links/596f584daca27280fda310ab/Distribution-and-abundance-of-fish-larvae-from-the-Strait-of-Magellan-to-the-Cape-Horn-Chile.pdf",NA,""
"16",127,"Chordata","Actinopteri","Blenniiformes ","Clinidae ","Blennioclinus ","Blennioclinus* ","","","","Peces",3,"https://www.researchgate.net/profile/Fernando-Balbontin-2/publication/285663113_Distribution_and_abundance_of_fish_larvae_from_the_Strait_of_Magellan_to_the_Cape_Horn_Chile/links/596f584daca27280fda310ab/Distribution-and-abundance-of-fish-larvae-from-the-Strait-of-Magellan-to-the-Cape-Horn-Chile.pdf",NA,""
"17",128,"Chordata","Actinopteri","Pleuronectiformes","Paralichthyidae","Hippoglossina","Hippoglossina*","","","","Peces",3,"https://www.researchgate.net/profile/Fernando-Balbontin-2/publication/285663113_Distribution_and_abundance_of_fish_larvae_from_the_Strait_of_Magellan_to_the_Cape_Horn_Chile/links/596f584daca27280fda310ab/Distribution-and-abundance-of-fish-larvae-from-the-Strait-of-Magellan-to-the-Cape-Horn-Chile.pdf",NA,""
"18",129,"Chordata","Actinopterygii","Myctophiformes","Myctophidae","Electrona","Electrona_antartica","","","","Peces",4,"https://doi.org/10.1017/S095410200400207X",NA,""
"19",130,"Chordata","Actinopterygii","Myctophiformes","Myctophidae","Electrona","Electrona_carlsbergi","","","","Peces",4,"https://doi.org/10.1017/S095410200400207X",NA,""
"20",131,"Chordata","Actinopterygii","Myctophiformes","Myctophidae","Gymnoscopelus","Gymnoscopelus_fraseri","","","","Peces",4,"https://doi.org/10.1017/S095410200400207X",NA,""
"21",132,"Chordata","Actinopterygii","Myctophiformes","Myctophidae","Gymnoscopelus","Gymnoscopelus_hintonoides","","","","Peces",4,"https://doi.org/10.1017/S095410200400207X",NA,""
"22",133,"Chordata","Actinopterygii","Myctophiformes","Myctophidae","Gymnoscopelus","Gymnoscopelus_nicholsi","","","","Peces",4,"https://doi.org/10.1017/S095410200400207X",NA,""
"23",134,"Chordata","Actinopterygii","Myctophiformes","Myctophidae","Gymnoscopelus","Gymnoscopelus*","","","","Peces",4,"https://doi.org/10.1017/S095410200400207X",NA,""
"24",135,"Chordata","Actinopterygii","Myctophiformes","Myctophidae","Krefftichthys","Krefftichthys_andersoni","","","","Peces",4,"https://doi.org/10.1017/S095410200400207X",NA,""
"25",136,"Chordata","Actinopterygii","Gadiformes","Macrouridae",NA,"Macrouridae*","","","","Peces",4,"https://doi.org/10.1017/S095410200400207X",NA,""
"26",137,"Chordata","Actinopterygii","Gadiformes","Melanonidae","Melanonus","Melanonus_gracilis","","","","Peces",4,"https://doi.org/10.1017/S095410200400207X",NA,""
"27",156,"Chordata","Actinopterygii","Anguiliformes","Synaphobranchidae","Diastobranchus","Diastobranchus_capensis","","","","Peces",6,"http://dx.doi.org/10.4067/S0718-19572009000100006",NA,""
"28",157,"Chordata","Actinopterygii","Gadiformes","Macrouridae","Macrourus","Macrourus_carinatus","","","","Peces",6,"http://dx.doi.org/10.4067/S0718-19572009000100006",NA,""
"29",158,"Chordata","Actinopterygii","Gadiformes","Macrouridae","Macrourus","Macrourus_holotrachys","","","","Peces",6,"http://dx.doi.org/10.4067/S0718-19572009000100006",NA,""
"30",159,"Chordata","Actinopterygii","Gadiformes","Macrouridae","Caelorinchus","Caelorinchus_fasciatus","","","","Peces",6,"http://dx.doi.org/10.4067/S0718-19572009000100006",NA,""
"31",160,"Chordata","Actinopterygii","Gadiformes","Macrouridae","Caelorinchus","Caelorinchus_chilensis","","","","Peces",6,"http://dx.doi.org/10.4067/S0718-19572009000100006",NA,""
"32",161,"Chordata","Actinopterygii","Gadiformes","Moridae","Antimora","Antimora_rostrata","","","","Peces",6,"http://dx.doi.org/10.4067/S0718-19572009000100006",NA,""
"33",162,"Chordata","Actinopterygii","Gadiformes","Moridae","Lepidion","Lepidion_ensiferus","","","","Peces",6,"http://dx.doi.org/10.4067/S0718-19572009000100006",NA,""
"34",164,"Chordata","Actinopterygii","Scorpaeniformes","Liparidae",NA,"Liparidae*","","","","Peces",6,"http://dx.doi.org/10.4067/S0718-19572009000100006",NA,""
"35",176,"Chordata","Actinopteri ","Gadiformes ","Moridae ","Salilota","Salilota_australis","Bacalao criollo","Pelágico","","Peces",8,"https://doi.org/10.3354/meps08826",NA,""
"36",178,"Chordata","Actinopteri ","Perciformes","Bovichtidae","Cottoperca","Cottoperca_gobio","","","","Peces",8,"https://doi.org/10.3354/meps08826",NA,""
"37",179,"Chordata","Actinopteri ","Gadiformes ","Macrouridae","Coelorinchus","Coelorinchus_fasciatus","Granadero chico","Pelágico","","Peces",8,"https://doi.org/10.3354/meps08826",NA,""
"38",181,"Chordata","Actinopteri ","Perciformes","Psychrolutidae ","Cottunculus","Cottunculus_granulosus","","","","Peces",8,"https://doi.org/10.3354/meps08826",NA,""
"39",183,"Chordata","Actinopteri ","Ophidiiformes","Ophidiidae ","Genypterus","Genypterus_blacodes","Congrio dorado","","","Peces",8,"https://doi.org/10.3354/meps08826",NA,""
"40",184,"Chordata","Actinopteri ","Perciformes","Nototheniidae",NA,"Nototheniidae*","","","","Peces",8,"https://doi.org/10.3354/meps08826",NA,""
"41",185,"Chordata","Actinopteri ","Gadiformes ","Gadidae","Micromesistius","Micromesistius_australis","Bacaladilla","Pelágico","","Peces",8,"https://doi.org/10.3354/meps08826",NA,""
"42",186,"Chordata","Actinopteri ","Perciformes","Nototheniidae","Patagonotothen","Patagonotothen_ramsayi","","","","Peces",8,"https://doi.org/10.3354/meps08826",NA,""
"43",187,"Chordata","Actinopteri ","Zeiformes ","Oreosomatidae ","Pseudocyttus","Pseudocythus_maculatus","","","","Peces",8,"https://doi.org/10.3354/meps08826",NA,""
"44",188,"Chordata","Actinopteri ","Myctophiformes ","Myctophidae ",NA,"Myctophidae* ","","","","Peces",8,"https://doi.org/10.3354/meps08826",NA,""
"45",190,"Chordata","Actinopteri ","Perciformes","Nototheniidae","Eleginops","Eleginops_maclovinus","","","","Peces",8,"https://doi.org/10.3354/meps08826",NA,""
"46",191,"Chordata","Actinopteri ","Perciformes","Zoarcidae",NA,"Zoarcidae*","","","","Peces",8,"https://doi.org/10.3354/meps08826",NA,""
"47",192,"Chordata","Actinopteri ","Perciformes","Nototheniidae","Patagonotothen ","Patagonotothen* ","","","","Peces",8,"https://doi.org/10.3354/meps08826",NA,""
"48",193,"Chordata","Actinopteri ","Perciformes","Nototheniidae","Patagonotothen ","Patagonotothen_sima","","","","Peces",8,"https://doi.org/10.3354/meps08826",NA,""
"49",194,"Chordata","Actinopteri ","Perciformes","Nototheniidae","Patagonotothen ","Patagonotothen_tessellata","","","","Peces",8,"https://doi.org/10.3354/meps08826",NA,""
"50",195,"Chordata","Actinopteri ","Atheriniformes","Atherinidae","Odonthestes","Odonthestes*","","","","Peces",8,"https://doi.org/10.3354/meps08826",NA,""
"51",240,"Chordata","Actinopteri","Perciformes","Nototheniidae ","Notothenia","Notothenia_rossii","","","","Peces",9,"https://www.researchgate.net/publication/235993961_Odontocetes_of_the_Southern_Ocean_Sanctuary",NA,""
"52",245,"Chordata","Actinopteri ","Gadiformes","Macrouridae","Macrurus","Macrurus*","","","","Peces",11,"https://doi.org/10.3354/meps11689",NA,""
"53",261,"Chordata","Actinopteri ","Clupeiformes ","Engraulidae",NA,"Engraulidae*","","","","Peces",11,"https://doi.org/10.3354/meps11689",NA,""
"54",277,"Chordata","Actinopteri ","Perciformes","Channichthyidae ","Champsocephalus","Champsocephalus_aceratus","","","","Peces",13,"https://doi.org/10.3354/meps12296",NA,""
"55",289,"Chordata","Actinopteri ","Gadiformes ","Gadidae","Micromesistius","Micromesistius_australis","Bacaladilla","Pelágico","","Peces",13,"https://doi.org/10.3354/meps12296",NA,""
"56",292,"Chordata","Actinopteri ","Perciformes ","Nototheniidae","Gobionotothen","Gobionotothen_gibberifrons","","","","Peces",13,"https://doi.org/10.3354/meps12296",NA,""
"57",293,"Chordata","Actinopteri ","Perciformes ","Channichthyidae","Chaenocephalus","Chaenocephalus_aceratus","","","","Peces",13,"https://doi.org/10.3354/meps12296",NA,""
"58",294,"Chordata","Actinopteri ","Perciformes ","Channichthyidae","Champsocephalus","Champsocephalus_gunnari","","","","Peces",13,"https://doi.org/10.3354/meps12296",NA,""
"59",295,"Chordata","Actinopteri ","Perciformes ","Channichthyidae","Chionodraco","Chionodraco_rastrospinosus","","","","Peces",13,"https://doi.org/10.3354/meps12296",NA,""
"60",296,"Chordata","Actinopteri ","Perciformes ","Nototheniidae","Lepidonotothen","Lepidonotothen_kempi","","","","Peces",13,"https://doi.org/10.3354/meps12296",NA,""
"61",297,"Chordata","Actinopteri ","Perciformes ","Nototheniidae","Nototheniops","Nototheniops_larseni","","","","Peces",13,"https://doi.org/10.3354/meps12296",NA,""
"62",298,"Chordata","Actinopteri ","Perciformes ","Channichthyidae","Pseudochaenichthys","Pseudochaenichthys_georgianus","","","","Peces",13,"https://doi.org/10.3354/meps12296",NA,""
"63",388,"Chordata","Actinopteri","Myctophiformes","Myctophidae ",NA,"Myctophidae* ","","","","Peces",19,"https://doi.org/10.1007/s00300-019-02607-z",NA,""
"64",399,"Chordata","Actinopteri ","Gadiformes ","Moridae","Salilota","Salilota_australis","Bacalao criollo","Pelágico","","Peces",21,"https://doi.org/10.1007/s00300-021-02908-2",NA,""
"65",400,"Chordata","Actinopteri ","Gadiformes ","Gadidae ","Micromesistius","Micromesistius_australis","Bacaladilla","Pelágico","","Peces",21,"https://doi.org/10.1007/s00300-021-02908-2",NA,""
"66",414,"Chordata","Actinopteri ","Perciformes","Gonatidae","Gobionotothen","Gobionotothen_gibberifrons","","","","Peces",21,"https://doi.org/10.1007/s00300-021-02908-2",NA,""
"67",415,"Chordata","Actinopteri ","Perciformes","Channichthyidae ","Chaenocephalus","Chaenocephalus_aceratus","","","","Peces",21,"https://doi.org/10.1007/s00300-021-02908-2",NA,""
"68",416,"Chordata","Actinopteri ","Perciformes","Channichthyidae ","Chaenocephalus","Chaenocephalus_gunnari","","","","Peces",21,"https://doi.org/10.1007/s00300-021-02908-2",NA,""
"69",417,"Chordata","Actinopteri ","Perciformes","Channichthyidae ","Chionodraco","Chionodraco_rastrospinosus","","","","Peces",21,"https://doi.org/10.1007/s00300-021-02908-2",NA,""
"70",418,"Chordata","Actinopteri ","Perciformes","Nototheniidae","Lepidonotothen","Lepidonotothen_kempi","","","","Peces",21,"https://doi.org/10.1007/s00300-021-02908-2",NA,""
"71",419,"Chordata","Actinopteri ","Perciformes","Nototheniidae","Nototheniops","Nototheniops_larseni","","","","Peces",21,"https://doi.org/10.1007/s00300-021-02908-2",NA,""
"72",420,"Chordata","Actinopteri ","Perciformes","Channichthyidae ","Pseudochaenichthys","Pseudochaenichthys_georgianus","","","","Peces",21,"https://doi.org/10.1007/s00300-021-02908-2",NA,""
"73",421,"Chordata","Actinopteri ","Perciformes","Nototheniidae","Patagonotothen ","Patagonotothen_ramsayi","","","","Peces",21,"https://doi.org/10.1007/s00300-021-02908-2",NA,""
"74",424,"Chordata","Actinopteri ","Gadiformes ","Moridae","Salilota","Salilota_australis","Bacalao criollo","Pelágico","","Peces",21,"https://doi.org/10.1007/s00300-021-02908-2",NA,""
"75",425,"Chordata","Actinopteri ","Perciformes","Nototheniidae","Patagonotothen","Patagonotothen_guntheri","Róbalo","Bentopelágico","CCH, CB","Peces",21,"https://doi.org/10.1007/s00300-021-02908-2",NA,""
"76",506,"Chordata","Teleostei","Stomiiformes","Stomiidae","Malacosteus","Malacosteus_australis","Pez demonio","Pelágico","","Peces",26,"",NA,""
"77",507,"Chordata","Actinopteri ","Gadiformes ","Moridae ","Notophycis","Notophycis_marginata","Bacalao pequeño","Pelágico","","Peces",26,"",NA,""
"78",508,"Chordata","Actinopteri ","Gadiformes ","Moridae ","Salilota","Salilota_australis","Bacalao criollo","Pelágico","","Peces",26,"",NA,""
"79",509,"Chordata","Actinopteri ","Gadiformes ","Macrouridae ","Macrourus","Macrourus_holotrachys","","Pelágico","","Peces",26,"",NA,""
"80",510,"Chordata","Actinopteri ","Gadiformes ","Macrouridae","Coelorinchus","Coelorinchus_fasciatus","Granadero chico","Pelágico","","Peces",26,"",NA,""
"81",512,"Chordata","Actinopteri ","Perciformes","Nototheniidae","Patagonotothen ","Patagonotothen_ramsayi","Bacalao del sur de cola larga","Pelágico","","Peces",26,"",NA,""
"82",514,"Chordata","Actinopteri ","Ophidiiformes","Ophidiidae ","Genypterus","Genypterus_blacodes","Congrio dorado","Pelágico","","Peces",26,"",NA,""
"83",517,"Chordata","Actinopteri ","Gadiformes ","Gadidae ","Micromesistius","Micromesistius_australis","Bacaladilla","Pelágico","","Peces",26,"",NA,""
