ID,Presa,Grupo funcional presa,Depredador,Grupo funcional depredador,Estrategia,Fuente,Expertise depredador,Expertise presa,Referencia,Enlace,Referente
1,Electrona_antartica,Myctophiformes,Thalassarche_chrysostoma,Procellariiformes,Cazador,Heterótrofo,Aves marinas,Peces,4,https://doi.org/10.1017/S095410200400207X,
2,Electrona_carlsbergi,Myctophiformes,Thalassarche_chrysostoma,Procellariiformes,Cazador,Heterótrofo,Aves marinas,Peces,4,https://doi.org/10.1017/S095410200400207X,
3,Gymnoscopelus_fraseri,Myctophiformes,Thalassarche_chrysostoma,Procellariiformes,Cazador,Heterótrofo,Aves marinas,Peces,4,https://doi.org/10.1017/S095410200400207X,
4,Gymnoscopelus_hintonoides,Myctophiformes,Thalassarche_chrysostoma,Procellariiformes,Cazador,Heterótrofo,Aves marinas,Peces,4,https://doi.org/10.1017/S095410200400207X,
5,Gymnoscopelus_nicholsi,Myctophiformes,Thalassarche_chrysostoma,Procellariiformes,Cazador,Heterótrofo,Aves marinas,Peces,4,https://doi.org/10.1017/S095410200400207X,
6,Gymnoscopelus*,Myctophiformes,Thalassarche_chrysostoma,Procellariiformes,Cazador,Heterótrofo,Aves marinas,Peces,4,https://doi.org/10.1017/S095410200400207X,
7,Krefftichthys_andersoni,Myctophiformes,Thalassarche_chrysostoma,Procellariiformes,Cazador,Heterótrofo,Aves marinas,Peces,4,https://doi.org/10.1017/S095410200400207X,
8,Macrouridae,Gadiformes,Thalassarche_chrysostoma,Procellariiformes,Cazador,Heterótrofo,Aves marinas,Peces,4,https://doi.org/10.1017/S095410200400207X,
9,Melanonus_gracilis,Gadiformes,Thalassarche_chrysostoma,Procellariiformes,Cazador,Heterótrofo,Aves marinas,Peces,4,https://doi.org/10.1017/S095410200400207X,
10,Gonatus_antarcticus,Cephalopoda,Thalassarche_chrysostoma,Procellariiformes,Cazador,Heterótrofo,Aves marinas,Cefalopodos,4,https://doi.org/10.1017/S095410200400207X,
11,Kondakovia _longimana,Cephalopoda,Thalassarche_chrysostoma,Procellariiformes,Cazador,Heterótrofo,Aves marinas,Cefalopodos,4,https://doi.org/10.1017/S095410200400207X,
12,Batoteuthis_skolops,Cephalopoda,Thalassarche_chrysostoma,Procellariiformes,Cazador,Heterótrofo,Aves marinas,Cefalopodos,4,https://doi.org/10.1017/S095410200400207X,
13,Histioteuthis,Cephalopoda,Thalassarche_chrysostoma,Procellariiformes,Cazador,Heterótrofo,Aves marinas,Cefalopodos,4,https://doi.org/10.1017/S095410200400207X,
14,Alluroteuthis_antarcticus,Cephalopoda,Thalassarche_chrysostoma,Procellariiformes,Cazador,Heterótrofo,Aves marinas,Cefalopodos,4,https://doi.org/10.1017/S095410200400207X,
15,Martialia_hyadesi,Cephalopoda,Thalassarche_chrysostoma,Procellariiformes,Cazador,Heterótrofo,Aves marinas,Cefalopodos,4,https://doi.org/10.1017/S095410200400207X,
16,Mastigoteuthis_psychrophila,Cephalopoda,Thalassarche_chrysostoma,Procellariiformes,Cazador,Heterótrofo,Aves marinas,Cefalopodos,4,https://doi.org/10.1017/S095410200400207X,
17,Galiteuthis_glacialis,Malacostraca,Thalassarche_chrysostoma,Procellariiformes,Cazador,Heterótrofo,Aves marinas,Crustaceos peracaridos,4,https://doi.org/10.1017/S095410200400207X,
18,Taonius,Malacostraca,Thalassarche_chrysostoma,Procellariiformes,Cazador,Heterótrofo,Aves marinas,Crustaceos peracaridos,4,https://doi.org/10.1017/S095410200400207X,
19,Gammaridea,Malacostraca,Thalassarche_chrysostoma,Procellariiformes,Cazador,Heterótrofo,Aves marinas,Crustaceos peracaridos,4,https://doi.org/10.1017/S095410200400207X,
20,Themisto_gaudicahudii,Malacostraca,Thalassarche_chrysostoma,Procellariiformes,Cazador,Heterótrofo,Aves marinas,Crustaceos peracaridos,4,https://doi.org/10.1017/S095410200400207X,
21,Anuropus_antarcticus,Malacostraca,Thalassarche_chrysostoma,Procellariiformes,Cazador,Heterótrofo,Aves marinas,Crustaceos peracaridos,4,https://doi.org/10.1017/S095410200400207X,
22,Acanthephyra _pelagica,Malacostraca,Thalassarche_chrysostoma,Procellariiformes,Cazador,Heterótrofo,Aves marinas,Crustaceos peracaridos,4,https://doi.org/10.1017/S095410200400207X,
23,Acanthephyra ,Malacostraca,Grampus_griseus,Delphinidae,,Heterótrofo,Mamiferos marinos,Crustaceos peracaridos,4,https://doi.org/10.1017/S095410200400207X,
24,Pasiphaea_longispina,Malacostraca,Grampus_griseus,Delphinidae,,Heterótrofo,Mamiferos marinos,Crustaceos peracaridos,8,https://doi.org/10.3354/meps08826,
25,Euphausia_superba,Malacostraca,Grampus_griseus,Delphinidae,,Heterótrofo,Mamiferos marinos,Crustaceos peracaridos,8,https://doi.org/10.3354/meps08826,
26,Gnathophausiidae,Malacostraca,Grampus_griseus,Delphinidae,,Heterótrofo,Mamiferos marinos,Crustaceos peracaridos,8,https://doi.org/10.3354/meps08826,
27,Micromesistius_australis,Gadiformes ,Grampus_griseus,Delphinidae,,Heterótrofo,Mamiferos marinos,Peces,8,https://doi.org/10.3354/meps08826,
28,Sprattus_fuegensis,Clupeiformes ,Grampus_griseus,Delphinidae,,Heterótrofo,Mamiferos marinos,Sardinas,8,https://doi.org/10.3354/meps08826,
29,Myctophidae* ,Myctophiformes ,Grampus_griseus,Delphinidae,,Heterótrofo,Mamiferos marinos,Peces,8,https://doi.org/10.3354/meps08826,
30,Merluccius_hubbsi,Gadiformes ,Lagenorhynchus_cruciger,Delphinidae,,Heterótrofo,Mamiferos marinos,Peces demersales,8,https://doi.org/10.3354/meps08826,
31,Merluccius_australis,Gadiformes ,Lagenorhynchus_cruciger,Delphinidae,,Heterótrofo,Mamiferos marinos,Peces demersales,8,https://doi.org/10.3354/meps08826,
32,Salilota_australis,Gadiformes ,Lagenorhynchus_cruciger,Delphinidae,,Heterótrofo,Mamiferos marinos,Peces,8,https://doi.org/10.3354/meps08826,
33,Macruronus_magellanicus,Gadiformes ,Lagenorhynchus_cruciger,Delphinidae,,Heterótrofo,Mamiferos marinos,Peces demersales,8,https://doi.org/10.3354/meps08826,
34,Cottoperca_gobio,Perciformes,Lagenorhynchus_cruciger,Delphinidae,,Heterótrofo,Mamiferos marinos,Peces,8,https://doi.org/10.3354/meps08826,
35,Coelorinchus_fasciatus,Gadiformes ,Lagenorhynchus_cruciger,Delphinidae,,Heterótrofo,Mamiferos marinos,Peces,8,https://doi.org/10.3354/meps08826,
36,Iluocoetes_fimbriatus,Perciformes,Lagenorhynchus_cruciger,Delphinidae,,Heterótrofo,Mamiferos marinos,Peces,8,https://doi.org/10.3354/meps08826,
37,Cottunculus_granulosus,Perciformes,Lagenorhynchus_cruciger,Delphinidae,,Heterótrofo,Mamiferos marinos,Peces,8,https://doi.org/10.3354/meps08826,
38,Dissostichus_eleginoides,Perciformes,Lagenorhynchus_cruciger,Delphinidae,,Heterótrofo,Mamiferos marinos,Peces demersales,8,https://doi.org/10.3354/meps08826,
39,Genypterus_blacodes,Ophidiiformes,Lagenorhynchus_cruciger,Delphinidae,,Heterótrofo,Mamiferos marinos,Peces,8,https://doi.org/10.3354/meps08826,
40,Nototeniidae*,Perciformes,Lagenorhynchus_cruciger,Delphinidae,,Heterótrofo,Mamiferos marinos,Peces,8,https://doi.org/10.3354/meps08826,
41,Micromesistius_australis,Gadiformes ,Lagenorhynchus_cruciger,Delphinidae,,Heterótrofo,Mamiferos marinos,Peces,8,https://doi.org/10.3354/meps08826,
42,Patagonotothen_ramsayi,Perciformes,Lagenorhynchus_cruciger,Delphinidae,,Heterótrofo,Mamiferos marinos,Peces,8,https://doi.org/10.3354/meps08826,
43,Pseudocythus_maculatus,Zeiformes ,Lagenorhynchus_cruciger,Delphinidae,,Heterótrofo,Mamiferos marinos,Peces,8,https://doi.org/10.3354/meps08826,
44,Myctophidae* ,Myctophiformes,Lagenorhynchus_cruciger,Delphinidae,,Heterótrofo,Mamiferos marinos,Peces,8,https://doi.org/10.3354/meps08826,
45,Bathyraja_macloviana,Elasmobranchii,Lagenorhynchus_cruciger,Delphinidae,,Heterótrofo,Mamiferos marinos,Condrictios,8,https://doi.org/10.3354/meps08826,
46,Eleginops_maclovinus,Perciformes,Lagenorhynchus_cruciger,Delphinidae,,Heterótrofo,Mamiferos marinos,Peces,8,https://doi.org/10.3354/meps08826,
47,Zoarcidae*,Perciformes,Lagenorhynchus_cruciger,Delphinidae,,Heterótrofo,Mamiferos marinos,Peces,8,https://doi.org/10.3354/meps08826,
48,Patagonotothen* ,Perciformes,Lagenorhynchus_cruciger,Delphinidae,,Heterótrofo,Mamiferos marinos,Peces,8,https://doi.org/10.3354/meps08826,
49,Patagonotothen_sima,Perciformes,Lagenorhynchus_cruciger,Delphinidae,,Heterótrofo,Mamiferos marinos,Peces,8,https://doi.org/10.3354/meps08826,
50,Patagonotothen_tessellata,Perciformes,Lagenorhynchus_cruciger,Delphinidae,,Heterótrofo,Mamiferos marinos,Peces,8,https://doi.org/10.3354/meps08826,
51,Odonthestes*,Atheriniformes,Lagenorhynchus_cruciger,Delphinidae,,Heterótrofo,Mamiferos marinos,Peces,8,https://doi.org/10.3354/meps08826,
52,Sprattus_fuegensis,Clupeiformes ,Lagenorhynchus_cruciger,Delphinidae,,Heterótrofo,Mamiferos marinos,Sardinas,8,https://doi.org/10.3354/meps08826,
53,Loligo_gahi,Cephalopoda ,Lagenorhynchus_cruciger,Delphinidae,,Heterótrofo,Mamiferos marinos,Cefalopodos,8,https://doi.org/10.3354/meps08826,
54,llex*,Cephalopoda ,Lagenorhynchus_cruciger,Delphinidae,,Heterótrofo,Mamiferos marinos,Cefalopodos,8,https://doi.org/10.3354/meps08826,
55,Ilex_argentinus,Cephalopoda ,Lagenorhynchus_cruciger,Delphinidae,,Heterótrofo,Mamiferos marinos,Cefalopodos,8,https://doi.org/10.3354/meps08826,
56,Moroteuthis_ingens,Cephalopoda ,Lagenorhynchus_cruciger,Delphinidae,,Heterótrofo,Mamiferos marinos,Cefalopodos,8,https://doi.org/10.3354/meps08826,
57,Semirrosia_tenera,Cephalopoda ,Lagenorhynchus_cruciger,Delphinidae,,Heterótrofo,Mamiferos marinos,Cefalopodos,8,https://doi.org/10.3354/meps08826,
58,Enteroctopus_megalocyathus,Cephalopoda ,Lagenorhynchus_cruciger,Delphinidae,,Heterótrofo,Mamiferos marinos,Cefalopodos,8,https://doi.org/10.3354/meps08826,
59,Campylognathus_vagans,Malacostraca,Lagenorhynchus_cruciger,Delphinidae,,Heterótrofo,Mamiferos marinos,Crustaceos peracaridos,8,https://doi.org/10.3354/meps08826,
60,Munida_gregaria,Malacostraca,Lagenorhynchus_cruciger,Delphinidae,,Heterótrofo,Mamiferos marinos,Crustaceos peracaridos,8,https://doi.org/10.3354/meps08826,
61,Euphausia_lucens,Malacostraca,Lagenorhynchus_cruciger,Delphinidae,,Heterótrofo,Mamiferos marinos,Crustaceos peracaridos,8,https://doi.org/10.3354/meps08826,
62,Calanus_australis,Copepoda ,Lagenorhynchus_cruciger,Delphinidae,,Heterótrofo,Mamiferos marinos,Crustaceos,8,https://doi.org/10.3354/meps08826,
63,Themisto_gaudichaudii,Malacostraca,Lagenorhynchus_cruciger,Delphinidae,,Heterótrofo,Mamiferos marinos,Crustaceos peracaridos,8,https://doi.org/10.3354/meps08826,
65,Patagonotothen_sima,Perciformes,Lagenorhynchus_australis,Delphinidae,,Heterótrofo,Mamiferos marinos,Peces,8,https://doi.org/10.3354/meps08826,
66,Patagonotothen_tessellata,Perciformes,Lagenorhynchus_australis,Delphinidae,,Heterótrofo,Mamiferos marinos,Peces,8,https://doi.org/10.3354/meps08826,
67,Eleginops_maclovinus,Perciformes,Lagenorhynchus_australis,Delphinidae,,Heterótrofo,Mamiferos marinos,Peces,8,https://doi.org/10.3354/meps08826,
69,Micromesistius_australis,Perciformes,Lissodelphis_peronii,Delphinidae,,Heterótrofo,Mamiferos marinos,Peces,8,https://doi.org/10.3354/meps08826,
70,Coelorinchus_fasciatus,Gadiformes ,Lissodelphis_peronii,Delphinidae,,Heterótrofo,Mamiferos marinos,Peces,8,https://doi.org/10.3354/meps08826,
71,Nototeniidae*,Perciformes,Lissodelphis_peronii,Delphinidae,,Heterótrofo,Mamiferos marinos,Peces,8,https://doi.org/10.3354/meps08826,
72,Iluocoetes_fimbriatus,Perciformes,Lissodelphis_peronii,Delphinidae,,Heterótrofo,Mamiferos marinos,Peces,8,https://doi.org/10.3354/meps08826,
73,Loligo_gahi,Cephalopoda ,Lissodelphis_peronii,Delphinidae,,Heterótrofo,Mamiferos marinos,Cefalopodos,8,https://doi.org/10.3354/meps08826,
74,Ilex_argentinus,Cephalopoda ,Lissodelphis_peronii,Delphinidae,,Heterótrofo,Mamiferos marinos,Cefalopodos,8,https://doi.org/10.3354/meps08826,
75,Moroteuthis_ingens,Cephalopoda ,Lissodelphis_peronii,Delphinidae,,Heterótrofo,Mamiferos marinos,Cefalopodos,8,https://doi.org/10.3354/meps08826,
76,Merluccius_hubbsi,Gadiformes ,Pseudorca_crassidens,Delphinidae,,Heterótrofo,Mamiferos marinos,Peces demersales,8,https://doi.org/10.3354/meps08826,
77,Merluccius_australis,Gadiformes ,Pseudorca_crassidens,Delphinidae,,Heterótrofo,Mamiferos marinos,Peces demersales,8,https://doi.org/10.3354/meps08826,
78,Salilota_australis,Gadiformes ,Pseudorca_crassidens,Delphinidae,,Heterótrofo,Mamiferos marinos,Peces,8,https://doi.org/10.3354/meps08826,
79,Macruronus_magellanicus,Gadiformes ,Pseudorca_crassidens,Delphinidae,,Heterótrofo,Mamiferos marinos,Peces demersales,8,https://doi.org/10.3354/meps08826,
80,Cottoperca_gobio,Perciformes,Pseudorca_crassidens,Delphinidae,,Heterótrofo,Mamiferos marinos,Peces,8,https://doi.org/10.3354/meps08826,
81,Coelorinchus_fasciatus,Gadiformes ,Pseudorca_crassidens,Delphinidae,,Heterótrofo,Mamiferos marinos,Peces,8,https://doi.org/10.3354/meps08826,
82,Iluocoetes_fimbriatus,Perciformes,Pseudorca_crassidens,Delphinidae,,Heterótrofo,Mamiferos marinos,Peces,8,https://doi.org/10.3354/meps08826,
83,Cottunculus_granulosus,Perciformes,Pseudorca_crassidens,Delphinidae,,Heterótrofo,Mamiferos marinos,Peces,8,https://doi.org/10.3354/meps08826,
84,Dissostichus_eleginoides,Perciformes,Pseudorca_crassidens,Delphinidae,,Heterótrofo,Mamiferos marinos,Peces demersales,8,https://doi.org/10.3354/meps08826,
85,Genypterus_blacodes,Ophidiiformes,Pseudorca_crassidens,Delphinidae,,Heterótrofo,Mamiferos marinos,Peces,8,https://doi.org/10.3354/meps08826,
86,Nototeniidae*,Perciformes,Pseudorca_crassidens,Delphinidae,,Heterótrofo,Mamiferos marinos,Peces,8,https://doi.org/10.3354/meps08826,
87,Micromesistius_australis,Gadiformes ,Pseudorca_crassidens,Delphinidae,,Heterótrofo,Mamiferos marinos,Peces,8,https://doi.org/10.3354/meps08826,
88,Patagonotothen_ramsayi,Perciformes,Pseudorca_crassidens,Delphinidae,,Heterótrofo,Mamiferos marinos,Peces,8,https://doi.org/10.3354/meps08826,
89,Pseudocythus_maculatus,Zeiformes ,Pseudorca_crassidens,Delphinidae,,Heterótrofo,Mamiferos marinos,Peces,8,https://doi.org/10.3354/meps08826,
90,Myctophidae* ,Myctophiformes ,Pseudorca_crassidens,Delphinidae,,Heterótrofo,Mamiferos marinos,Peces,8,https://doi.org/10.3354/meps08826,
91,Bathyraja_macloviana,Rajiformes,Pseudorca_crassidens,Delphinidae,,Heterótrofo,Mamiferos marinos,Peces,8,https://doi.org/10.3354/meps08826,
92,Eleginops_maclovinus,Perciformes,Pseudorca_crassidens,Delphinidae,,Heterótrofo,Mamiferos marinos,Peces,8,https://doi.org/10.3354/meps08826,
93,Zoarcidae*,Perciformes,Pseudorca_crassidens,Delphinidae,,Heterótrofo,Mamiferos marinos,Peces,8,https://doi.org/10.3354/meps08826,
94,Patagonotothen* ,Perciformes,Pseudorca_crassidens,Delphinidae,,Heterótrofo,Mamiferos marinos,Peces,8,https://doi.org/10.3354/meps08826,
95,Patagonotothen_sima,Perciformes,Pseudorca_crassidens,Delphinidae,,Heterótrofo,Mamiferos marinos,Peces,8,https://doi.org/10.3354/meps08826,
96,Patagonotothen_tessellata,Perciformes,Pseudorca_crassidens,Delphinidae,,Heterótrofo,Mamiferos marinos,Peces,8,https://doi.org/10.3354/meps08826,
97,Sprattus_fuegensis,Clupeiformes ,Pseudorca_crassidens,Delphinidae,,Heterótrofo,Mamiferos marinos,Sardinas,8,https://doi.org/10.3354/meps08826,
98,Loligo_gahi,Cephalopoda ,Pseudorca_crassidens,Delphinidae,,Heterótrofo,Mamiferos marinos,Cefalopodos,8,https://doi.org/10.3354/meps08826,
99,llex*,Cephalopoda ,Pseudorca_crassidens,Delphinidae,,Heterótrofo,Mamiferos marinos,Cefalopodos,8,https://doi.org/10.3354/meps08826,
100,Ilex_argentinus,Cephalopoda ,Pseudorca_crassidens,Delphinidae,,Heterótrofo,Mamiferos marinos,Cefalopodos,8,https://doi.org/10.3354/meps08826,
101,Moroteuthis_ingens,Cephalopoda ,Pseudorca_crassidens,Delphinidae,,Heterótrofo,Mamiferos marinos,Cefalopodos,8,https://doi.org/10.3354/meps08826,
102,Semirrosia_tenera,Cephalopoda ,Pseudorca_crassidens,Delphinidae,,Heterótrofo,Mamiferos marinos,Cefalopodos,8,https://doi.org/10.3354/meps08826,
104,Enteroctopus_megalocyathus,Cephalopoda ,Pseudorca_crassidens,Delphinidae,,Heterótrofo,Mamiferos marinos,Cefalopodos,8,https://doi.org/10.3354/meps08826,
105,Campylognathus_vagans,Malacostraca,Pseudorca_crassidens,Delphinidae,,Heterótrofo,Mamiferos marinos,Crustaceos peracaridos,8,https://doi.org/10.3354/meps08826,
106,Munida_gregaria,Malacostraca,Pseudorca_crassidens,Delphinidae,,Heterótrofo,Mamiferos marinos,Crustaceos peracaridos,8,https://doi.org/10.3354/meps08826,
107,Euphausia_lucens,Malacostraca,Pseudorca_crassidens,Delphinidae,,Heterótrofo,Mamiferos marinos,Crustaceos peracaridos,8,https://doi.org/10.3354/meps08826,
108,Calanus_australis,Copepoda ,Pseudorca_crassidens,Delphinidae,,Heterótrofo,Mamiferos marinos,Crustaceos,8,https://doi.org/10.3354/meps08826,
109,Themisto_gaudichaudii,Malacostraca,Pseudorca_crassidens,Delphinidae,,Heterótrofo,Mamiferos marinos,Crustaceos peracaridos,8,https://doi.org/10.3354/meps08826,
110,Odonthestes*,Atheriniformes,Cephalorhynchus_commersonii,Delphinidae,,Heterótrofo,Mamiferos marinos,Peces,8,https://doi.org/10.3354/meps08826,
111,Sprattus_fuegensis,Clupeiformes ,Cephalorhynchus_commersonii,Delphinidae,,Heterótrofo,Mamiferos marinos,Sardinas,8,https://doi.org/10.3354/meps08826,
112,Merluccius_hubbsi,Gadiformes ,Cephalorhynchus_commersonii,Delphinidae,,Heterótrofo,Mamiferos marinos,Peces demersales,8,https://doi.org/10.3354/meps08826,
113,Merluccius_australis,Gadiformes ,Cephalorhynchus_commersonii,Delphinidae,,Heterótrofo,Mamiferos marinos,Peces demersales,8,https://doi.org/10.3354/meps08826,
114,Salilota_australis,Gadiformes ,Cephalorhynchus_commersonii,Delphinidae,,Heterótrofo,Mamiferos marinos,Peces,8,https://doi.org/10.3354/meps08826,
115,Nototeniidae*,Perciformes,Cephalorhynchus_commersonii,Delphinidae,,Heterótrofo,Mamiferos marinos,Peces,8,https://doi.org/10.3354/meps08826,
116,Micromesistius_australis,Gadiformes ,Cephalorhynchus_commersonii,Delphinidae,,Heterótrofo,Mamiferos marinos,Peces,8,https://doi.org/10.3354/meps08826,
117,Genypterus_blacodes,Ophidiiformes,Cephalorhynchus_commersonii,Delphinidae,,Heterótrofo,Mamiferos marinos,Peces,8,https://doi.org/10.3354/meps08826,
118,Ilex_argentinus,Cephalopoda ,Cephalorhynchus_commersonii,Delphinidae,,Heterótrofo,Mamiferos marinos,Cefalopodos,8,https://doi.org/10.3354/meps08826,
119,Loligo_gahi,Cephalopoda ,Cephalorhynchus_commersonii,Delphinidae,,Heterótrofo,Mamiferos marinos,Cefalopodos,8,https://doi.org/10.3354/meps08826,
120,Merluccius_hubbsi,Gadiformes ,Phocoena_dioptrica,Phocoenidae,,Heterótrofo,Mamiferos marinos,Peces demersales,8,https://doi.org/10.3354/meps08826,
121,Merluccius_australis,Gadiformes ,Phocoena_dioptrica,Phocoenidae,,Heterótrofo,Mamiferos marinos,Peces demersales,8,https://doi.org/10.3354/meps08826,
122,Salilota_australis,Gadiformes ,Phocoena_dioptrica,Phocoenidae,,Heterótrofo,Mamiferos marinos,Peces,8,https://doi.org/10.3354/meps08826,
123,Macruronus_magellanicus,Gadiformes ,Phocoena_dioptrica,Phocoenidae,,Heterótrofo,Mamiferos marinos,Peces demersales,8,https://doi.org/10.3354/meps08826,
124,Cottoperca_gobio,Gadiformes ,Phocoena_dioptrica,Phocoenidae,,Heterótrofo,Mamiferos marinos,Peces,8,https://doi.org/10.3354/meps08826,
125,Coelorinchus_fasciatus,Gadiformes ,Phocoena_dioptrica,Phocoenidae,,Heterótrofo,Mamiferos marinos,Peces,8,https://doi.org/10.3354/meps08826,
126,Iluocoetes_fimbriatus,Perciformes,Phocoena_dioptrica,Phocoenidae,,Heterótrofo,Mamiferos marinos,Peces,8,https://doi.org/10.3354/meps08826,
