ID,Presa,Grupo funcional presa,Depredador,Grupo funcional depredador,Estrategia,Fuente,Expertise depredador,Expertise presa,Referencia,Enlace,Referente
127,Cottunculus_granulosus,Perciformes,Phocoena_dioptrica,Phocoenidae,,Heterótrofo,Mamiferos marinos,Peces,8,https://doi.org/10.3354/meps08826,
128,Dissostichus_eleginoides,Perciformes,Phocoena_dioptrica,Phocoenidae,,Heterótrofo,Mamiferos marinos,Peces demersales,8,https://doi.org/10.3354/meps08826,
129,Genypterus_blacodes,Ophidiiformes,Phocoena_dioptrica,Phocoenidae,,Heterótrofo,Mamiferos marinos,Peces,8,https://doi.org/10.3354/meps08826,
130,Nototeniidae*,Perciformes,Phocoena_dioptrica,Phocoenidae,,Heterótrofo,Mamiferos marinos,Peces,8,https://doi.org/10.3354/meps08826,
131,Micromesistius_australis,Gadiformes ,Phocoena_dioptrica,Phocoenidae,,Heterótrofo,Mamiferos marinos,Peces,8,https://doi.org/10.3354/meps08826,
132,Patagonotothen_ramsayi,Perciformes,Phocoena_dioptrica,Phocoenidae,,Heterótrofo,Mamiferos marinos,Peces,8,https://doi.org/10.3354/meps08826,
133,Pseudocythus_maculatus,Zeiformes ,Phocoena_dioptrica,Phocoenidae,,Heterótrofo,Mamiferos marinos,Peces,8,https://doi.org/10.3354/meps08826,
134,Myctophidae* ,Myctophiformes ,Phocoena_dioptrica,Phocoenidae,,Heterótrofo,Mamiferos marinos,Peces,8,https://doi.org/10.3354/meps08826,
135,Bathyraja_macloviana,Rajiformes,Phocoena_dioptrica,Phocoenidae,,Heterótrofo,Mamiferos marinos,Condrictios,8,https://doi.org/10.3354/meps08826,
136,Eleginops_maclovinus,Perciformes,Phocoena_dioptrica,Phocoenidae,,Heterótrofo,Mamiferos marinos,Peces,8,https://doi.org/10.3354/meps08826,
137,Zoarcidae*,Perciformes,Phocoena_dioptrica,Phocoenidae,,Heterótrofo,Mamiferos marinos,Peces,8,https://doi.org/10.3354/meps08826,
138,Patagonotothen* ,Perciformes,Phocoena_dioptrica,Phocoenidae,,Heterótrofo,Mamiferos marinos,Peces,8,https://doi.org/10.3354/meps08826,
139,Patagonotothen_sima,Perciformes,Phocoena_dioptrica,Phocoenidae,,Heterótrofo,Mamiferos marinos,Peces,8,https://doi.org/10.3354/meps08826,
140,Patagonotothen_tessellata,Perciformes,Phocoena_dioptrica,Phocoenidae,,Heterótrofo,Mamiferos marinos,Peces,8,https://doi.org/10.3354/meps08826,
141,Odonthestes*,Atheriniformes,Phocoena_dioptrica,Phocoenidae,,Heterótrofo,Mamiferos marinos,Peces,8,https://doi.org/10.3354/meps08826,
142,Sprattus_fuegensis,Clupeiformes ,Phocoena_dioptrica,Phocoenidae,,Heterótrofo,Mamiferos marinos,Sardinas,8,https://doi.org/10.3354/meps08826,
143,Loligo_gahi,Cephalopoda ,Phocoena_dioptrica,Phocoenidae,,Heterótrofo,Mamiferos marinos,Cefalopodos,8,https://doi.org/10.3354/meps08826,
144,llex,Cephalopoda ,Phocoena_dioptrica,Phocoenidae,,Heterótrofo,Mamiferos marinos,Cefalopodos,8,https://doi.org/10.3354/meps08826,
145,Ilex_argentinus,Cephalopoda ,Phocoena_dioptrica,Phocoenidae,,Heterótrofo,Mamiferos marinos,Cefalopodos,8,https://doi.org/10.3354/meps08826,
146,Moroteuthis_ingens,Cephalopoda ,Phocoena_dioptrica,Phocoenidae,,Heterótrofo,Mamiferos marinos,Cefalopodos,8,https://doi.org/10.3354/meps08826,
147,Semirrosia_tenera,Cephalopoda ,Phocoena_dioptrica,Phocoenidae,,Heterótrofo,Mamiferos marinos,Cefalopodos,8,https://doi.org/10.3354/meps08826,
148,Enteroctopus_megalocyathus,Cephalopoda ,Phocoena_dioptrica,Phocoenidae,,Heterótrofo,Mamiferos marinos,Cefalopodos,8,https://doi.org/10.3354/meps08826,
149,Campylognathus_vagans,Malacostraca,Phocoena_dioptrica,Phocoenidae,,Heterótrofo,Mamiferos marinos,Crustaceos peracaridos,8,https://doi.org/10.3354/meps08826,
150,Munida_gregaria,Malacostraca,Phocoena_dioptrica,Phocoenidae,,Heterótrofo,Mamiferos marinos,Crustaceos peracaridos,8,https://doi.org/10.3354/meps08826,
151,Euphausia_lucens,Malacostraca,Phocoena_dioptrica,Phocoenidae,,Heterótrofo,Mamiferos marinos,Crustaceos peracaridos,8,https://doi.org/10.3354/meps08826,
152,Calanus_australis,Copepoda ,Phocoena_dioptrica,Phocoenidae,,Heterótrofo,Mamiferos marinos,Crustaceos,8,https://doi.org/10.3354/meps08826,
153,Themisto_gaudichaudii,Malacostraca,Phocoena_dioptrica,Phocoenidae,,Heterótrofo,Mamiferos marinos,Crustaceos peracaridos,8,https://doi.org/10.3354/meps08826,
154,Odonthestes*,Atheriniformes,Phocoena_spinipinnis,Phocoenidae,,Heterótrofo,Mamiferos marinos,Peces,8,https://doi.org/10.3354/meps08826,
155,Sprattus_fuegensis,Clupeiformes ,Phocoena_spinipinnis,Phocoenidae,,Heterótrofo,Mamiferos marinos,Sardinas,8,https://doi.org/10.3354/meps08826,
156,Merluccius_hubbsi,Gadiformes ,Phocoena_spinipinnis,Phocoenidae,,Heterótrofo,Mamiferos marinos,Peces demersales,8,https://doi.org/10.3354/meps08826,
157,Merluccius_australis,Gadiformes ,Phocoena_spinipinnis,Phocoenidae,,Heterótrofo,Mamiferos marinos,Peces demersales,8,https://doi.org/10.3354/meps08826,
158,Salilota_australis,Gadiformes ,Phocoena_spinipinnis,Phocoenidae,,Heterótrofo,Mamiferos marinos,Peces,8,https://doi.org/10.3354/meps08826,
159,Nototeniidae*,Perciformes,Phocoena_spinipinnis,Phocoenidae,,Heterótrofo,Mamiferos marinos,Peces,8,https://doi.org/10.3354/meps08826,
160,Micromesistius_australis,Gadiformes ,Phocoena_spinipinnis,Phocoenidae,,Heterótrofo,Mamiferos marinos,Peces,8,https://doi.org/10.3354/meps08826,
161,Genypterus_blacodes,Ophidiiformes,Phocoena_spinipinnis,Phocoenidae,,Heterótrofo,Mamiferos marinos,Peces,8,https://doi.org/10.3354/meps08826,
162,Ilex_argentinus,Cephalopoda ,Phocoena_spinipinnis,Phocoenidae,,Heterótrofo,Mamiferos marinos,Cefalopodos,8,https://doi.org/10.3354/meps08826,
163,Loligo_gahi,Cephalopoda ,Phocoena_spinipinnis,Phocoenidae,,Heterótrofo,Mamiferos marinos,Cefalopodos,8,https://doi.org/10.3354/meps08826,
164,Cephalopods*,Cephalopoda ,Globicephala_melas,Delphinidae,,Heterótrofo,Mamiferos marinos,Cefalopodos,9,https://www.researchgate.net/publication/235993961_Odontocetes_of_the_Southern_Ocean_Sanctuary,
165,Ancistrocheirus*,Cephalopoda ,Thalassarche_chrysostoma,Procellariiformes,,Heterótrofo,Aves marinas,Cefalopodos,9,https://www.researchgate.net/publication/235993961_Odontocetes_of_the_Southern_Ocean_Sanctuary,
166,Ancistrocheirus*,Cephalopoda ,Thalassarche_melanophris,Procellariiformes,,Heterótrofo,Aves marinas,Cefalopodos,11,https://doi.org/10.3354/meps11689,
167,Zooplankton*,Zooplankton,Spheniscus_magellanicus_female,Sphenisciformes,,Heterótrofo,Aves marinas,Zooplancton,11,https://doi.org/10.3354/meps11689,
168,Cephalopods*,Cephalopoda ,Spheniscus_magellanicus_female,Sphenisciformes,,Heterótrofo,Aves marinas,Cefalopodos,11,https://doi.org/10.3354/meps11689,
169,Zooplankton*,Zooplankton,Spheniscus_magellanicus_male,Sphenisciformes,,Heterótrofo,Aves marinas,Zooplancton,11,https://doi.org/10.3354/meps11689,
170,Cephalopods*,Cephalopoda ,Spheniscus_magellanicus_male,Sphenisciformes,,Heterótrofo,Aves marinas,Cefalopodos,11,https://doi.org/10.3354/meps11689,
171,Zooplankton*,Zooplankton,Otaria*,Otariidae ,,Heterótrofo,Mamiferos marinos,Zooplancton,11,https://doi.org/10.3354/meps11689,
172,Cephalopods*,Cephalopoda ,Otaria*,Otariidae ,,Heterótrofo,Mamiferos marinos,Cefalopodos,11,https://doi.org/10.3354/meps11689,
173,Zooplankton*,Zooplankton,Delphinus,Delphinidae,,Heterótrofo,Mamiferos marinos,Zooplancton,11,https://doi.org/10.3354/meps11689,
174,Cephalopods*,Cephalopoda ,Delphinus,Delphinidae,,Heterótrofo,Mamiferos marinos,Cefalopodos,11,https://doi.org/10.3354/meps11689,
175,Themisto_gaudichaudii,Malacostraca,Spheniscus_magellanicus_female,Sphenisciformes,,Heterótrofo,Aves marinas,Crustaceos,11,https://doi.org/10.3354/meps11689,
176,Euphausiacea*,Malacostraca,Spheniscus_magellanicus_female,Sphenisciformes,,Heterótrofo,Aves marinas,Crustaceos,11,https://doi.org/10.3354/meps11689,
177,Amphipoda* ,Malacostraca,Spheniscus_magellanicus_female,Sphenisciformes,,Heterótrofo,Aves marinas,Crustaceos,11,https://doi.org/10.3354/meps11689,
178,Themisto_gaudichaudii,Malacostraca,Spheniscus_magellanicus_male,Sphenisciformes,,Heterótrofo,Aves marinas,Crustaceos,11,https://doi.org/10.3354/meps11689,
179,Euphausiacea*,Malacostraca,Spheniscus_magellanicus_male,Sphenisciformes,,Heterótrofo,Aves marinas,Crustaceos,11,https://doi.org/10.3354/meps11689,
180,Amphipoda* ,Malacostraca,Spheniscus_magellanicus_male,Sphenisciformes,,Heterótrofo,Aves marinas,Crustaceos,11,https://doi.org/10.3354/meps11689,
181,Sprattus_fuegensis,Clupeiformes ,Spheniscus_magellanicus_male,Sphenisciformes,,Heterótrofo,Aves marinas,Sardinas,11,https://doi.org/10.3354/meps11689,
182,Sprattus_fuegensis,Clupeiformes ,Spheniscus_magellanicus_female,Sphenisciformes,,Heterótrofo,Aves marinas,Sardinas,11,https://doi.org/10.3354/meps11689,
183,Munida_gregaria,Malacostraca,Spheniscus_magellanicus_male,Sphenisciformes,,Heterótrofo,Aves marinas,Crustaceos,11,https://doi.org/10.3354/meps11689,
184,Munida_gregaria,Malacostraca,Spheniscus_magellanicus_female,Sphenisciformes,,Heterótrofo,Aves marinas,Crustaceos,11,https://doi.org/10.3354/meps11689,
185,Loligo_gahi,Cephalopoda ,Spheniscus_magellanicus_male,Sphenisciformes,,Heterótrofo,Aves marinas,Cefalopodos,11,https://doi.org/10.3354/meps11689,
186,Loligo_gahi,Cephalopoda ,Spheniscus_magellanicus_female,Sphenisciformes,,Heterótrofo,Aves marinas,Cefalopodos,11,https://doi.org/10.3354/meps11689,
187,Engraulidae*,Clupeiformes ,Spheniscus_magellanicus_male,Sphenisciformes,,Heterótrofo,Aves marinas,Sardinas,11,https://doi.org/10.3354/meps11689,
188,Engraulidae*,Clupeiformes ,Spheniscus_magellanicus_female,Sphenisciformes,,Heterótrofo,Aves marinas,Sardinas,11,https://doi.org/10.3354/meps11689,
189,Loligo_gahi,Cephalopoda ,Berardius_arnuxii,Ziphiidae ,,Heterótrofo,Mamiferos marinos,Cefalopodos,13,,
190,Ilex_argentinus,Cephalopoda ,Berardius_arnuxii,Ziphiidae ,,Heterótrofo,Mamiferos marinos,Cefalopodos,13,,
191,Macruronus_magellanicus,Gadiformes ,Berardius_arnuxii,Ziphiidae ,,Heterótrofo,Mamiferos marinos,Peces demersales,13,,
192,Merluccius_australis,Gadiformes ,Berardius_arnuxii,Ziphiidae ,,Heterótrofo,Mamiferos marinos,Peces demersales,13,,
193,Champsocephalus_aceratus,Perciformes,Berardius_arnuxii,Ziphiidae ,,Heterótrofo,Mamiferos marinos,Peces,13,,
194,Galiteuthis_glacialis,Cephalopoda ,Berardius_arnuxii,Ziphiidae ,,Heterótrofo,Mamiferos marinos,Cefalopodos,13,,
195,Euphausia_lucens,Malacostraca,Berardius_arnuxii,Ziphiidae ,,Heterótrofo,Mamiferos marinos,Crustaceos peracaridos,13,,
196,Euphausia_superba,Malacostraca,Berardius_arnuxii,Ziphiidae ,,Heterótrofo,Mamiferos marinos,Crustaceos peracaridos,13,,
197,Taonius*,Cephalopoda ,Berardius_arnuxii,Ziphiidae ,,Heterótrofo,Mamiferos marinos,Cefalopodos,13,,
198,Histioteuthis_atlantica,Cephalopoda ,Berardius_arnuxii,Ziphiidae ,,Heterótrofo,Mamiferos marinos,Cefalopodos,13,,
199,Histioteuthis_macrohista,Cephalopoda ,Berardius_arnuxii,Ziphiidae ,,Heterótrofo,Mamiferos marinos,Cefalopodos,13,,
200,Gonatus_antarcticus,Cephalopoda,Berardius_arnuxii,Ziphiidae ,,Heterótrofo,Mamiferos marinos,Cefalopodos,13,,
201,Kondakovia_longimana,Cephalopoda ,Berardius_arnuxii,Ziphiidae ,,Heterótrofo,Mamiferos marinos,Cefalopodos,13,,
202,Batoteuthis_skolops,Cephalopoda ,Berardius_arnuxii,Ziphiidae ,,Heterótrofo,Mamiferos marinos,Cefalopodos,13,,
203,Galiteuthis_glacialis,Cephalopoda ,Berardius_arnuxii,Ziphiidae ,,Heterótrofo,Mamiferos marinos,Cefalopodos,13,,
204,Dissostichus_eleginoides,Perciformes,Berardius_arnuxii,Ziphiidae ,,Heterótrofo,Mamiferos marinos,Peces demersales,13,,
205,Micromesistius_australis,Gadiformes ,Berardius_arnuxii,Ziphiidae ,,Heterótrofo,Mamiferos marinos,Peces,13,,
206,Macruronus_magellanicus,Gadiformes ,Berardius_arnuxii,Ziphiidae ,,Heterótrofo,Mamiferos marinos,Peces demersales,13,,
207,Merluccius_australis,Gadiformes ,Berardius_arnuxii,Ziphiidae ,,Heterótrofo,Mamiferos marinos,Peces demersales,13,,
208,Gobionotothen_gibberifrons,Perciformes ,Berardius_arnuxii,Ziphiidae ,,Heterótrofo,Mamiferos marinos,Peces,13,,
209,Chaenocephalus_aceratus,Perciformes ,Berardius_arnuxii,Ziphiidae ,,Heterótrofo,Mamiferos marinos,Peces,13,,
210,Champsocephalus_gunnari,Perciformes ,Berardius_arnuxii,Ziphiidae ,,Heterótrofo,Mamiferos marinos,Peces,13,,
211,Chionodraco_rastrospinosus,Perciformes ,Berardius_arnuxii,Ziphiidae ,,Heterótrofo,Mamiferos marinos,Peces,13,,
212,Lepidonotothen_kempi,Perciformes ,Berardius_arnuxii,Ziphiidae ,,Heterótrofo,Mamiferos marinos,Peces,13,,
213,Nototheniops_larseni,Perciformes ,Berardius_arnuxii,Ziphiidae ,,Heterótrofo,Mamiferos marinos,Peces,13,,
214,Pseudochaenichthys_georgianus,Perciformes ,Berardius_arnuxii,Ziphiidae ,,Heterótrofo,Mamiferos marinos,Peces,13,,
215,Loligo_gahi,Cephalopoda ,Hyperoodon_planifrons,Ziphiidae ,,Heterótrofo,Mamiferos marinos,Cefalopodos,13,,
216,Ilex_argentinus,Cephalopoda ,Hyperoodon_planifrons,Ziphiidae ,,Heterótrofo,Mamiferos marinos,Cefalopodos,13,,
217,Macruronus_magellanicus,Gadiformes ,Hyperoodon_planifrons,Ziphiidae ,,Heterótrofo,Mamiferos marinos,Peces demersales,13,,
218,Merluccius_australis,Gadiformes ,Hyperoodon_planifrons,Ziphiidae ,,Heterótrofo,Mamiferos marinos,Peces demersales,13,,
219,Champsocephalus_aceratus,Perciformes,Hyperoodon_planifrons,Ziphiidae ,,Heterótrofo,Mamiferos marinos,Peces,13,,
220,Galiteuthis_glacialis,Cephalopoda ,Hyperoodon_planifrons,Ziphiidae ,,Heterótrofo,Mamiferos marinos,Cefalopodos,13,,
221,Euphausia_lucens,Malacostraca,Hyperoodon_planifrons,Ziphiidae ,,Heterótrofo,Mamiferos marinos,Crustaceos peracaridos,13,,
222,Euphausia_superba,Malacostraca,Hyperoodon_planifrons,Ziphiidae ,,Heterótrofo,Mamiferos marinos,Crustaceos peracaridos,13,,
223,Taonius*,Cephalopoda ,Hyperoodon_planifrons,Ziphiidae ,,Heterótrofo,Mamiferos marinos,Cefalopodos,13,,
224,Histioteuthis_atlantica,Cephalopoda ,Hyperoodon_planifrons,Ziphiidae ,,Heterótrofo,Mamiferos marinos,Cefalopodos,13,,
225,Histioteuthis_macrohista,Cephalopoda ,Hyperoodon_planifrons,Ziphiidae ,,Heterótrofo,Mamiferos marinos,Cefalopodos,13,,
226,Gonatus_antarcticus,Cephalopoda,Hyperoodon_planifrons,Ziphiidae ,,Heterótrofo,Mamiferos marinos,Cefalopodos,13,,
227,Kondakovia_longimana,Cephalopoda ,Hyperoodon_planifrons,Ziphiidae ,,Heterótrofo,Mamiferos marinos,Cefalopodos,13,,
228,Batoteuthis_skolops,Cephalopoda ,Hyperoodon_planifrons,Ziphiidae ,,Heterótrofo,Mamiferos marinos,Cefalopodos,13,,
229,Galiteuthis_glacialis,Cephalopoda ,Hyperoodon_planifrons,Ziphiidae ,,Heterótrofo,Mamiferos marinos,Cefalopodos,13,,
230,Dissostichus_eleginoides,Perciformes,Hyperoodon_planifrons,Ziphiidae ,,Heterótrofo,Mamiferos marinos,Peces demersales,13,,
231,Micromesistius_australis,Gadiformes ,Hyperoodon_planifrons,Ziphiidae ,,Heterótrofo,Mamiferos marinos,Peces,13,,
232,Macruronus_magellanicus,Gadiformes ,Hyperoodon_planifrons,Ziphiidae ,,Heterótrofo,Mamiferos marinos,Peces demersales,13,,
233,Merluccius_australis,Gadiformes ,Hyperoodon_planifrons,Ziphiidae ,,Heterótrofo,Mamiferos marinos,Peces demersales,13,,
234,Gobionotothen_gibberifrons,Perciformes ,Hyperoodon_planifrons,Ziphiidae ,,Heterótrofo,Mamiferos marinos,Peces,13,,
235,Chaenocephalus_aceratus,Perciformes ,Hyperoodon_planifrons,Ziphiidae ,,Heterótrofo,Mamiferos marinos,Peces,13,,
236,Champsocephalus_gunnari,Perciformes ,Hyperoodon_planifrons,Ziphiidae ,,Heterótrofo,Mamiferos marinos,Peces,13,,
237,Chionodraco_rastrospinosus,Perciformes ,Hyperoodon_planifrons,Ziphiidae ,,Heterótrofo,Mamiferos marinos,Peces,13,,
238,Lepidonotothen_kempi,Perciformes ,Hyperoodon_planifrons,Ziphiidae ,,Heterótrofo,Mamiferos marinos,Peces,13,,
239,Nototheniops_larseni,Perciformes ,Hyperoodon_planifrons,Ziphiidae ,,Heterótrofo,Mamiferos marinos,Peces,13,,
240,Pseudochaenichthys_georgianus,Perciformes ,Hyperoodon_planifrons,Ziphiidae ,,Heterótrofo,Mamiferos marinos,Peces,13,,
241,Loligo_gahi,Cephalopoda ,Mesoplodon_bowdoini,Ziphiidae,,Heterótrofo,Mamiferos marinos,Cefalopodos,13,,
242,Ilex_argentinus,Cephalopoda ,Mesoplodon_bowdoini,Ziphiidae,,Heterótrofo,Mamiferos marinos,Cefalopodos,13,,
243,Macruronus_magellanicus,Gadiformes ,Mesoplodon_bowdoini,Ziphiidae,,Heterótrofo,Mamiferos marinos,Peces demersales,13,,
244,Merluccius_australis,Gadiformes ,Mesoplodon_bowdoini,Ziphiidae,,Heterótrofo,Mamiferos marinos,Peces demersales,13,,
245,Champsocephalus_aceratus,Perciformes,Mesoplodon_bowdoini,Ziphiidae,,Heterótrofo,Mamiferos marinos,Peces,13,,
246,Galiteuthis_glacialis,Cephalopoda ,Mesoplodon_bowdoini,Ziphiidae,,Heterótrofo,Mamiferos marinos,Cefalopodos,13,,
247,Euphausia_lucens,Malacostraca,Mesoplodon_bowdoini,Ziphiidae,,Heterótrofo,Mamiferos marinos,Crustaceos peracaridos,13,,
248,Euphausia_superba,Malacostraca,Mesoplodon_bowdoini,Ziphiidae,,Heterótrofo,Mamiferos marinos,Crustaceos peracaridos,13,,
249,Taonius*,Cephalopoda ,Mesoplodon_bowdoini,Ziphiidae,,Heterótrofo,Mamiferos marinos,Cefalopodos,13,,
250,Histioteuthis_atlantica,Cephalopoda ,Mesoplodon_bowdoini,Ziphiidae,,Heterótrofo,Mamiferos marinos,Cefalopodos,13,,
251,Histioteuthis_macrohista,Cephalopoda ,Mesoplodon_bowdoini,Ziphiidae,,Heterótrofo,Mamiferos marinos,Cefalopodos,13,,
252,Gonatus_antarcticus,Cephalopoda,Mesoplodon_bowdoini,Ziphiidae,,Heterótrofo,Mamiferos marinos,Cefalopodos,13,,
253,Kondakovia_longimana,Cephalopoda ,Mesoplodon_bowdoini,Ziphiidae,,Heterótrofo,Mamiferos marinos,Cefalopodos,13,,
254,Batoteuthis_skolops,Cephalopoda ,Mesoplodon_bowdoini,Ziphiidae,,Heterótrofo,Mamiferos marinos,Cefalopodos,13,,
255,Galiteuthis_glacialis,Cephalopoda ,Mesoplodon_bowdoini,Ziphiidae,,Heterótrofo,Mamiferos marinos,Cefalopodos,13,,
256,Dissostichus_eleginoides,Perciformes,Mesoplodon_bowdoini,Ziphiidae,,Heterótrofo,Mamiferos marinos,Peces demersales,13,,
257,Micromesistius_australis,Gadiformes ,Mesoplodon_bowdoini,Ziphiidae,,Heterótrofo,Mamiferos marinos,Peces,13,,
258,Macruronus_magellanicus,Gadiformes ,Mesoplodon_bowdoini,Ziphiidae,,Heterótrofo,Mamiferos marinos,Peces demersales,13,,
259,Merluccius_australis,Gadiformes ,Mesoplodon_bowdoini,Ziphiidae,,Heterótrofo,Mamiferos marinos,Peces demersales,13,,
260,Gobionotothen_gibberifrons,Perciformes ,Mesoplodon_bowdoini,Ziphiidae,,Heterótrofo,Mamiferos marinos,Peces,13,,
261,Chaenocephalus_aceratus,Perciformes ,Mesoplodon_bowdoini,Ziphiidae,,Heterótrofo,Mamiferos marinos,Peces,13,,
262,Champsocephalus_gunnari,Perciformes ,Mesoplodon_bowdoini,Ziphiidae,,Heterótrofo,Mamiferos marinos,Peces,13,,
263,Chionodraco_rastrospinosus,Perciformes ,Mesoplodon_bowdoini,Ziphiidae,,Heterótrofo,Mamiferos marinos,Peces,13,,
264,Lepidonotothen_kempi,Perciformes ,Mesoplodon_bowdoini,Ziphiidae,,Heterótrofo,Mamiferos marinos,Peces,13,,
265,Nototheniops_larseni,Perciformes ,Mesoplodon_bowdoini,Ziphiidae,,Heterótrofo,Mamiferos marinos,Peces,13,,
266,Pseudochaenichthys_georgianus,Perciformes ,Mesoplodon_bowdoini,Ziphiidae,,Heterótrofo,Mamiferos marinos,Peces,13,,
267,Loligo_gahi,Cephalopoda ,Mesoplodon_grayi,Ziphiidae,,Heterótrofo,Mamiferos marinos,Cefalopodos,13,,
268,Ilex_argentinus,Cephalopoda ,Mesoplodon_grayi,Ziphiidae,,Heterótrofo,Mamiferos marinos,Cefalopodos,13,,
269,Macruronus_magellanicus,Gadiformes ,Mesoplodon_grayi,Ziphiidae,,Heterótrofo,Mamiferos marinos,Peces demersales,13,,
270,Merluccius_australis,Gadiformes ,Mesoplodon_grayi,Ziphiidae,,Heterótrofo,Mamiferos marinos,Peces demersales,13,,
271,Champsocephalus_aceratus,Perciformes,Mesoplodon_grayi,Ziphiidae,,Heterótrofo,Mamiferos marinos,Peces,13,,
